Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
5f25_protein	5f25_ligand	4.085	1.218	7.036	3.858	5.21	5.356	3.731	4.161	3.036	2.904	4.0	7.036	5.109	3.007	2.8	4.274	3.129	4.78	2.455	3.704	6.03	4.411		
5f60_protein	5f60_ligand	5.608	2.595	9.523	6.871	7.924	7.198	7.548	7.091	2.159	3.921	8.311	6.798	1.628	4.323	8.597	5.651	-0.074	9.523	4.804	3.297	3.77	7.887		
5f61_protein	5f61_ligand	5.011	2.061	9.559	5.294	5.299	6.06	4.227	6.44	4.057	6.142	6.05	4.708	4.237	3.935	0.589	5.494	1.54	9.559	1.662	5.604	7.392	5.719		
5f63_protein	5f63_ligand	6.776	2.834	14.969	14.969	7.447	10.689	7.294	6.118	6.045	3.87	7.606	7.426	8.703	6.592	4.467	3.945	3.817	8.974	4.689	1.908	6.986	7.047		
5f62_protein	5f62_ligand	5.965	2.36	10.869	6.571	7.896	10.869	7.557	8.058	3.566	4.033	8.256	2.904	5.869	5.61	4.336	6.948	1.012	8.814	4.529	3.439	5.383	6.776		
5f9b_protein	5f9b_ligand	1.384	2.109	6.713	4.2	0.071	0.105	-0.407	0.184	1.149	0.053	2.962	0.04	0.028	5.903	0.336	3.181	0.025	0.03	0.969	0.208	0.004	6.713		
5fbi_protein	5fbi_ligand	2.535	1.759	5.284	5.284	0.639	0.025	3.206	2.96	1.038	4.607	2.942	1.715	2.637	3.249	2.346	5.273	3.875	4.903	-0.224	1.26	1.458	3.517		
5f74_protein	5f74_ligand	4.771	3.185	11.791	3.866	7.49	3.827	3.102	-0.175	6.518	1.929	4.509	11.791	4.851	4.264	9.245	3.37	6.371	3.049	-0.232	8.096	0.169	5.364		
5fck_protein	5fck_ligand	6.735	2.863	10.873	8.198	8.158	5.743	-0.526	4.286	9.133	6.593	7.811	6.106	0.342	8.559	6.734	8.891	8.801	6.706	5.399	10.873	7.376	5.512		
5fe6_protein	5fe6_ligand	4.249	1.206	6.887	3.556	3.82	3.2	3.94	6.399	3.503	3.332	4.603	5.23	6.887	2.486	4.332	3.533	5.479	3.032	4.599	5.593	5.037	2.781		
5fe9_protein	5fe9_ligand	1.953	2.719	7.765	2.118	0.672	4.644	4.093	-1.164	7.765	2.954	-1.865	-1.504	4.798	5.983	-0.717	-0.474	1.501	4.082	-1.142	1.463	0.319	2.94		
5fe7_protein	5fe7_ligand	3.423	1.376	6.835	2.228	4.767	3.431	2.46	3.215	4.388	2.817	3.641	3.609	2.589	4.384	2.048	3.806	4.673	-0.113	3.227	6.835	3.727	2.707		
5fh8_protein	5fh8_ligand	5.286	1.93	7.949	1.613	7.949	2.577	3.841	5.729	7.35	4.494	2.304	7.041	6.03	6.273	5.004	7.262	2.418	5.728	5.49	5.366	6.833	7.882		
5fh7_protein	5fh7_ligand	5.223	1.785	7.501	1.824	7.312	3.784	4.13	7.15	7.293	3.106	5.992	7.091	4.206	5.709	7.501	5.703	2.434	5.97	3.281	4.426	4.803	7.494		
5fcz_protein	5fcz_ligand	2.799	2.46	5.677	4.398	4.894	3.429	0.33	2.7	3.244	5.607	4.302	0.186	5.652	-0.499	1.108	4.42	-0.954	5.677	3.355	0.084	5.543	-1.704		
5fnc_protein	5fnc_ligand	4.974	1.971	9.137	3.596	6.898	6.739	1.685	6.659	4.194	4.865	4.504	3.542	9.137	4.633	1.227	5.374	6.227	5.0	4.913	4.97	2.743	8.148		
5fnf_protein	5fnf_ligand	4.901	1.237	6.616	3.638	5.46	4.88	6.616	2.695	3.521	5.31	6.276	4.18	6.44	3.973	5.925	6.511	4.204	4.9	4.348	2.83	5.622	4.335		
5fnd_protein	5fnd_ligand	4.417	1.627	8.274	6.252	1.544	4.458	8.274	3.228	5.041	4.877	2.992	5.114	4.032	3.417	3.84	3.06	3.487	5.81	2.546	7.408	4.238	4.92		
5fns_protein	5fns_ligand	7.797	1.641	10.181	10.053	8.047	8.139	7.438	8.203	9.126	8.233	10.126	7.104	6.174	6.165	5.33	10.181	9.745	5.312	6.879	9.29	8.283	5.24		
5fnr_protein	5fnr_ligand	6.787	1.255	8.449	5.905	5.779	7.88	6.84	8.449	7.693	6.126	8.056	8.005	6.314	4.665	6.77	5.837	7.491	3.363	7.009	7.286	7.668	7.733		
5fho_protein	5fho_ligand	6.93	1.573	10.754	8.635	8.604	6.05	3.673	6.209	5.612	5.118	10.754	6.148	7.208	5.461	8.215	7.21	6.552	5.657	7.704	7.918	7.815	7.745		
5fhn_protein	5fhn_ligand	5.791	1.934	10.773	6.476	5.058	6.781	0.458	5.555	5.673	3.937	10.773	5.95	6.908	5.985	7.529	4.438	6.567	5.637	5.254	4.998	5.563	7.602		
5fnt_protein	5fnt_ligand	9.398	3.064	15.585	12.064	11.166	6.201	5.788	4.959	9.151	15.585	10.098	8.399	6.396	5.859	13.926	14.509	9.412	6.7	8.874	11.087	11.132	7.461		
5fog_protein	5fog_ligand	5.817	1.925	9.41	5.564	3.251	6.321	6.072	5.734	5.126	3.28	3.622	9.41	7.72	7.087	5.73	1.3	6.226	6.831	7.02	5.259	8.523	4.972		
5fou_protein	5fou_ligand	2.903	2.419	8.089	3.039	5.036	-0.582	2.36	5.896	1.885	1.117	4.218	1.165	1.494	1.24	1.274	2.069	7.664	1.596	1.312	3.845	5.254	8.089		
5fnu_protein	5fnu_ligand	9.361	2.928	14.696	12.11	11.278	8.106	7.599	8.831	13.623	11.369	6.98	8.316	9.814	6.316	14.696	14.132	7.017	4.39	5.7	8.873	8.14	7.622		
5fot_protein	5fot_ligand	3.692	2.718	8.495	2.476	6.329	1.768	3.473	6.192	2.982	1.919	4.265	1.492	6.327	-0.408	5.91	-1.186	8.495	2.196	1.764	4.466	5.524	8.433		
5fov_protein	5fov_ligand	3.429	2.297	6.949	2.287	4.022	3.726	2.812	5.965	3.084	0.69	5.791	-0.023	4.847	1.042	1.25	1.07	6.949	4.14	2.592	6.937	5.474	5.968		
5fox_protein	5fox_ligand	2.902	2.341	7.264	1.762	6.029	-0.94	2.34	5.736	0.879	-0.507	3.946	1.515	3.711	1.405	2.249	1.968	7.264	3.329	1.448	4.223	5.369	6.142		
5fpk_protein	5fpk_ligand	4.892	3.382	12.08	1.497	8.765	11.682	4.003	7.845	3.761	4.214	3.764	5.475	5.476	0.306	7.576	1.257	4.231	1.276	5.201	3.822	5.532	12.08		
5fol_protein	5fol_ligand	5.492	1.762	9.355	4.136	5.559	5.761	2.356	4.6	6.067	4.918	4.577	2.558	7.213	9.355	4.128	6.578	7.716	5.859	7.847	6.633	5.453	3.772		
5fs5_protein	5fs5_ligand	5.116	2.385	10.867	4.916	2.669	6.008	4.291	6.009	2.228	5.102	2.954	8.071	4.206	5.768	7.193	3.83	8.277	3.959	10.867	6.707	0.377	4.934		
5fsn_protein	5fsn_ligand	5.227	1.395	7.659	2.587	6.533	6.428	7.659	5.75	5.946	5.342	3.929	4.953	7.208	5.647	6.242	4.436	3.417	5.396	3.998	3.083	4.709	4.49		
5fso_protein	5fso_ligand	5.184	2.033	8.81	8.81	5.447	8.037	7.659	5.621	2.257	2.318	5.446	6.521	5.255	1.782	4.052	4.432	4.355	7.38	7.596	2.736	4.016	5.117		
5fsx_protein	5fsx_ligand	4.204	1.712	7.368	5.034	5.787	3.195	5.51	3.085	5.197	2.417	4.443	3.238	4.09	3.13	3.377	5.479	0.349	3.672	6.338	7.368	1.647	6.058		
5fyx_protein	5fyx_ligand	4.626	2.341	8.949	4.778	7.013	3.586	0.886	3.006	4.893	5.82	4.965	1.762	1.963	3.854	6.66	7.206	6.099	4.399	3.709	8.949	8.08	4.585		
5fto_protein	5fto_ligand	8.194	2.105	15.629	8.674	7.876	5.505	7.78	8.219	9.403	7.613	7.708	7.296	7.044	6.176	15.629	9.013	8.31	8.601	6.817	7.793	8.518	5.736		
5g2g_protein	5g2g_ligand	7.926	1.333	10.711	6.823	8.591	6.769	7.543	8.107	6.214	8.25	6.862	8.115	7.738	9.146	6.805	10.711	8.134	7.117	6.7	10.22	5.932	9.047		
5fsc_protein	5fsc_ligand	2.539	1.086	4.489	3.742	4.489	4.009	1.375	2.582	1.222	1.488	2.901	2.064	3.496	3.428	2.968	1.939	4.049	2.294	2.225	2.863	0.97	0.955		
5g45_protein	5g45_ligand	4.271	1.469	7.585	6.112	5.351	1.836	3.636	4.463	7.585	3.886	3.587	4.587	5.014	4.371	3.006	3.11	6.132	5.939	3.262	3.236	5.076	3.077		
5fsy_protein	5fsy_ligand	3.589	2.244	7.405	4.772	2.092	3.0	7.405	3.205	5.346	2.567	4.534	4.872	3.896	3.306	1.487	0.269	0.338	4.267	6.982	3.768	-1.28	6.28		
5fut_protein	5fut_ligand	7.912	1.729	11.085	8.101	10.099	7.031	5.782	5.342	7.134	4.305	9.797	10.185	9.45	6.802	8.353	6.893	8.583	7.366	7.973	11.085	8.124	8.924		
5g5f_protein	5g5f_ligand	4.188	2.476	7.657	4.003	5.905	3.749	7.657	1.661	2.623	6.685	4.08	3.553	-1.121	-2.023	3.873	5.211	6.628	5.091	4.465	5.516	7.177	4.782		
5g1z_protein	5g1z_ligand	3.505	3.013	9.773	0.269	0.846	1.427	0.022	9.773	3.944	1.251	2.62	5.702	4.564	1.414	1.725	2.724	7.224	1.043	3.62	0.554	7.033	4.811		
5g46_protein	5g46_ligand	2.603	2.212	8.769	4.987	4.32	0.48	5.689	1.602	0.643	3.113	3.78	4.012	0.543	1.362	1.873	0.749	8.769	1.303	0.415	2.97	2.108	3.325		
5ftg_protein	5ftg_ligand	8.525	2.793	14.736	8.333	10.489	7.739	7.531	9.278	8.242	8.528	10.441	7.636	9.253	10.888	14.736	0.169	4.482	8.483	10.948	7.774	8.485	8.915		
5h85_protein	5h85_ligand	3.505	1.863	6.494	3.59	4.386	0.856	2.311	6.168	3.83	2.312	4.795	4.25	4.182	2.947	1.091	6.087	3.327	5.032	0.588	6.494	3.637	4.207		
5ha1_protein	5ha1_ligand	8.327	2.082	13.561	8.529	9.219	8.766	7.549	9.534	8.427	9.054	9.634	6.737	6.586	13.561	6.837	6.514	8.587	10.225	8.66	5.957	3.242	8.829		
5g60_protein	5g60_ligand	2.182	2.212	7.367	3.054	-1.38	2.732	2.266	0.299	3.332	-1.772	0.548	3.107	1.995	0.438	0.423	2.612	5.165	7.367	2.179	3.012	2.683	5.169		
5h9r_protein	5h9r_ligand	5.115	3.73	18.484	3.947	1.654	6.061	4.164	1.465	4.881	1.094	4.015	4.47	7.555	4.454	9.314	4.903	5.79	5.038	3.972	1.653	3.929	5.462		
5hbs_protein	5hbs_ligand	8.398	1.621	11.283	8.469	8.405	6.662	7.556	7.765	8.476	8.595	9.464	7.214	8.634	11.283	9.809	9.788	7.872	9.418	9.516	5.941	3.971	9.629		
5hbn_protein	5hbn_ligand	3.503	1.844	6.965	3.697	0.439	5.383	6.965	2.942	5.536	4.389	3.063	4.527	1.744	5.106	3.208	3.918	3.802	2.74	2.983	2.653	-1.421	4.655		
5h8g_protein	5h8g_ligand	6.279	1.832	9.802	5.382	5.009	6.767	6.377	4.424	5.573	1.641	9.802	6.485	8.952	4.483	6.245	9.201	6.426	6.605	7.556	7.009	5.536	5.227		
5h8e_protein	5h8e_ligand	6.203	2.112	10.644	5.664	5.93	6.208	3.741	3.411	5.636	1.577	10.644	5.091	8.177	6.255	5.995	9.275	6.499	9.709	5.816	6.698	5.561	5.302		
5h5f_protein	5h5f_ligand	6.488	2.627	13.016	3.98	4.424	5.264	5.956	9.53	6.987	5.943	4.775	5.439	6.826	1.507	5.988	10.124	6.766	9.372	9.206	4.543	5.449	13.016		
5gsa_protein	5gsa_ligand	7.752	2.729	12.947	10.451	3.796	7.578	7.453	11.174	12.947	8.391	10.923	5.964	6.309	6.145	2.089	11.834	7.0	6.54	5.062	6.296	8.685	8.326		
5g61_protein	5g61_ligand	1.53	1.647	4.187	1.264	-1.167	2.549	0.992	-0.122	2.148	-1.752	-0.002	3.353	0.967	-0.312	0.774	1.364	3.228	3.819	4.187	2.028	2.308	3.25		
5gs9_protein	5gs9_ligand	6.096	1.825	10.763	5.156	7.708	5.719	6.256	7.435	6.171	6.025	10.763	5.508	4.882	6.671	6.337	2.341	6.672	7.119	4.787	2.395	5.536	6.942		
5hct_protein	5hct_ligand	5.824	1.61	9.01	9.01	6.388	5.059	1.351	6.369	6.03	6.781	4.459	6.57	4.704	8.354	6.719	5.833	6.818	4.662	5.703	5.281	4.67	4.836		
5hcv_protein	5hcv_ligand	9.247	2.367	14.498	10.652	3.468	9.411	10.129	11.006	8.061	8.368	8.288	9.025	14.498	11.396	8.778	6.17	7.407	10.167	7.693	7.543	12.168	9.476		
5g5z_protein	5g5z_ligand	2.831	3.065	11.971	5.117	-1.358	2.958	3.306	0.761	5.409	-0.749	0.977	4.825	2.103	0.143	1.82	1.944	4.519	11.971	4.263	2.438	-1.584	5.382		
5hrv_protein	5hrv_ligand	5.54	0.942	7.337	3.423	5.982	7.337	7.123	6.623	5.445	5.282	6.474	5.694	4.854	5.717	5.232	6.133	5.409	5.785	5.01	5.082	4.307	5.463		
5hrw_protein	5hrw_ligand	5.77	1.163	7.577	3.188	6.522	7.574	6.863	7.148	6.008	5.371	6.624	5.519	5.559	6.611	7.577	6.416	5.437	5.691	4.737	5.146	4.36	4.622		
5hrx_protein	5hrx_ligand	5.221	0.857	6.639	3.503	5.687	6.011	5.463	6.639	5.559	5.184	5.197	5.728	4.745	5.86	4.909	6.438	5.214	4.849	5.619	5.554	3.182	4.665		
5hcy_protein	5hcy_ligand	5.413	3.293	12.591	2.643	6.29	9.183	3.472	7.254	2.211	6.356	4.2	5.698	-0.365	12.591	3.314	5.874	6.916	11.118	6.407	3.502	4.544	7.181		
5hjq_protein	5hjq_ligand	3.506	2.654	11.831	2.863	11.831	2.956	2.582	2.358	5.06	0.554	3.0	0.957	4.851	2.811	3.566	-1.346	1.432	5.29	3.925	5.967	5.259	3.723		
5hva_protein	5hva_ligand	2.765	3.02	11.01	5.394	0.305	1.454	5.253	0.392	2.552	4.537	2.111	6.636	2.369	0.637	-0.214	-0.481	-0.359	0.181	2.362	11.01	0.381	5.266		
5hwv_protein	5hwv_ligand	3.788	2.116	9.301	5.626	4.6	5.996	1.044	2.982	1.233	3.271	5.706	3.937	4.114	4.071	3.454	2.707	0.754	9.301	0.553	3.57	5.855	2.63		
5hwu_protein	5hwu_ligand	5.47	1.79	8.464	3.055	5.557	5.78	7.597	7.23	8.285	6.174	6.281	2.651	5.007	4.734	6.27	2.199	8.464	4.102	4.959	6.886	3.24	5.754		
5hvs_protein	5hvs_ligand	2.922	2.869	8.295	-1.171	4.328	8.295	1.387	-0.126	3.221	0.155	3.789	5.515	1.588	2.383	0.426	0.953	2.06	1.402	-0.263	7.769	8.057	3.179		
5hu9_protein	5hu9_ligand	8.979	2.097	12.696	9.521	7.703	7.403	12.127	8.763	6.523	8.526	11.399	10.364	11.431	8.56	8.719	11.63	9.503	6.208	8.816	7.441	6.952	5.289		
5hvt_protein	5hvt_ligand	5.248	2.108	8.974	1.618	5.358	3.567	6.444	3.348	7.585	7.021	8.974	4.799	4.625	7.005	0.839	7.324	6.164	5.619	2.351	5.064	6.664	4.282		
5htl_protein	5htl_ligand	4.142	3.183	12.953	5.277	4.303	3.389	7.6	5.229	5.495	2.519	7.072	-0.035	-0.286	1.854	1.628	4.395	1.369	12.953	4.681	5.92	-0.813	5.611		
5htz_protein	5htz_ligand	7.544	4.193	16.502	2.651	16.502	11.033	0.133	10.779	8.23	7.729	8.619	3.47	4.51	7.138	2.501	3.324	10.291	8.374	5.945	9.749	15.268	9.042		
5hz5_protein	5hz5_ligand	7.925	2.545	15.34	5.336	6.582	6.731	7.526	5.352	8.426	6.321	8.603	12.602	4.266	8.142	8.718	8.337	6.255	6.953	5.976	8.948	15.34	8.366		
5hz6_protein	5hz6_ligand	6.943	3.645	14.426	5.981	7.521	5.987	10.784	5.188	4.74	3.285	-2.993	4.737	6.845	8.612	14.426	9.44	3.122	6.38	8.113	11.564	8.208	9.387		
5hz9_protein	5hz9_ligand	6.232	3.075	11.539	1.652	8.198	6.421	9.672	3.928	8.96	4.912	-2.625	3.955	5.43	7.521	4.917	8.494	7.258	7.858	6.691	7.166	11.539	5.183		
5i1q_protein	5i1q_ligand	7.831	1.799	10.608	7.294	7.909	7.87	10.608	7.913	6.229	4.835	6.88	8.016	9.075	7.87	3.893	9.67	9.462	5.107	8.917	9.034	7.491	7.933		
5hz8_protein	5hz8_ligand	7.214	3.292	12.103	7.217	9.751	5.142	12.103	6.858	9.945	5.153	-3.262	3.518	6.973	9.478	9.459	8.631	5.923	6.462	10.119	5.107	8.22	9.971		
5i2f_protein	5i2f_ligand	6.563	5.256	17.631	3.976	17.631	9.334	3.698	9.158	0.3	5.785	7.893	3.032	11.873	10.045	11.826	-0.494	16.621	5.7	0.208	1.321	1.136	5.218		
5i2e_protein	5i2e_ligand	8.984	4.565	15.906	14.372	7.572	10.198	11.982	11.288	8.867	8.266	3.567	-0.317	12.334	11.033	11.13	-1.196	14.674	5.667	5.424	15.906	11.231	8.78		
5i7x_protein	5i7x_ligand	4.742	1.678	7.403	5.45	6.698	6.103	7.403	4.799	2.169	2.888	5.725	5.704	7.251	4.399	2.643	5.062	2.99	5.592	3.314	3.215	6.261	5.046		
5i7y_protein	5i7y_ligand	6.103	2.039	10.15	5.443	6.87	6.373	9.28	6.817	4.319	3.047	5.083	5.073	10.15	5.098	3.237	7.043	9.555	7.887	5.044	4.144	5.157	7.837		
5i9x_protein	5i9x_ligand	7.064	1.814	10.282	9.922	4.262	8.11	7.719	7.213	7.607	8.995	5.792	7.581	5.195	6.721	6.81	5.375	5.485	9.014	8.91	3.897	10.282	5.527		
5i3v_protein	5i3v_ligand	7.556	0.964	9.168	7.756	8.865	6.968	6.546	7.18	8.222	8.349	8.392	7.552	4.922	7.244	7.939	7.641	7.336	9.168	7.45	6.691	6.591	7.703		
5i9y_protein	5i9y_ligand	8.179	2.718	16.167	16.167	8.036	7.806	6.703	8.515	8.391	2.56	8.072	6.501	9.622	11.929	4.929	8.301	6.651	8.54	6.679	10.599	6.687	8.435		
5i3x_protein	5i3x_ligand	8.33	1.081	10.699	6.894	8.542	7.624	10.699	7.672	8.574	8.441	8.979	10.598	7.227	9.323	9.194	7.447	8.687	8.218	8.665	7.123	8.169	6.978		
5i9z_protein	5i9z_ligand	7.284	1.905	11.196	8.186	7.858	6.466	6.799	8.249	6.407	11.072	7.056	5.536	8.897	5.77	3.638	11.196	8.112	7.832	7.995	6.984	7.908	5.389		
5i3w_protein	5i3w_ligand	7.836	1.867	12.864	7.077	9.013	7.689	3.939	6.853	7.107	8.323	7.869	6.568	7.684	10.685	8.748	12.864	6.838	5.757	10.017	7.299	8.077	7.44		
5i29_protein	5i29_ligand	6.006	1.82	10.404	6.443	7.545	7.345	10.404	5.637	3.142	3.302	5.675	5.934	8.985	6.335	3.702	5.584	4.679	4.479	4.766	6.077	6.56	5.796		
5i3y_protein	5i3y_ligand	9.096	1.445	11.278	7.756	10.717	10.478	10.912	9.381	8.626	8.742	11.278	10.401	8.934	9.313	6.901	7.969	10.013	8.03	8.749	6.798	6.454	10.388		
5i88_protein	5i88_ligand	5.13	1.535	7.348	4.999	5.698	1.971	5.698	4.846	5.043	6.243	6.578	7.119	2.455	5.632	4.038	5.186	5.711	7.348	5.65	5.533	5.008	6.104		
5i80_protein	5i80_ligand	3.855	1.732	6.365	4.331	5.056	1.387	3.288	4.119	1.643	5.637	6.232	6.365	1.983	5.34	2.719	3.673	3.083	5.718	4.157	4.969	2.385	4.806		
5ia0_protein	5ia0_ligand	8.375	2.921	18.484	18.484	8.502	9.312	8.947	9.453	8.582	8.579	7.357	6.583	8.606	5.785	5.222	10.709	6.835	6.064	9.978	10.119	7.411	5.197		
5ia1_protein	5ia1_ligand	6.856	3.363	13.03	4.517	5.452	5.024	11.123	7.961	6.102	8.484	7.69	13.03	8.972	6.037	0.241	7.209	8.388	3.962	2.689	8.706	0.768	10.105		
5ia2_protein	5ia2_ligand	9.362	2.479	16.514	8.761	8.153	9.736	11.362	9.385	9.083	8.488	7.555	11.426	7.981	7.92	16.514	8.047	8.692	7.502	7.2	13.745	6.022	8.08		
5gmh_protein	5gmh_ligand	5.843	1.229	7.606	6.329	5.853	6.492	5.258	3.927	7.407	5.57	5.762	6.336	7.12	6.075	3.671	5.998	6.656	7.606	3.925	6.991	5.539	3.576		
5ia3_protein	5ia3_ligand	7.814	3.342	14.776	14.776	9.324	8.942	9.668	8.57	8.36	7.432	11.663	6.414	4.825	3.994	0.782	7.474	2.629	7.207	6.865	12.348	5.031	9.904		
5ia4_protein	5ia4_ligand	6.727	1.937	10.035	5.46	8.022	3.555	6.895	9.075	6.565	8.888	7.214	7.68	7.803	2.217	8.577	4.458	6.347	6.176	7.333	7.597	5.395	5.24		
5ii2_protein	5ii2_ligand	5.819	1.226	7.722	4.056	4.733	5.297	3.503	7.409	7.722	3.99	7.606	5.355	7.51	5.064	6.099	6.279	6.231	5.344	6.325	5.37	5.568	6.089		
5igm_protein	5igm_ligand	5.716	2.171	10.032	4.262	8.154	7.518	2.064	7.372	6.661	3.445	10.032	7.361	5.754	8.372	2.465	5.598	6.262	3.847	3.305	3.782	5.59	4.961		
5ih9_protein	5ih9_ligand	7.037	1.081	8.797	8.443	6.117	6.739	7.06	7.048	5.895	8.248	4.943	6.957	8.797	5.701	7.377	8.243	6.261	7.847	7.195	7.666	8.018	5.306		
5ia5_protein	5ia5_ligand	7.954	1.48	10.804	8.793	7.889	7.862	9.912	8.242	6.244	9.491	7.827	10.804	7.581	5.539	8.98	8.945	6.863	9.028	6.16	7.509	9.196	5.266		
5ijr_protein	5ijr_ligand	4.987	1.816	9.004	3.698	4.746	4.849	4.0	3.242	5.356	5.419	3.901	2.627	9.004	7.502	8.579	4.591	5.164	4.344	2.658	6.746	5.506	2.743		
5ikb_protein	5ikb_ligand	6.284	0.882	7.869	7.869	4.988	5.695	6.617	6.631	6.511	5.154	4.949	7.365	7.21	6.944	5.891	6.869	6.193	5.218	5.507	6.405	5.42	7.271		
5ie1_protein	5ie1_ligand	7.499	1.143	10.353	5.891	8.224	6.433	8.808	7.385	8.586	8.349	8.377	7.164	8.793	7.896	6.577	6.974	7.278	6.818	7.054	10.353	6.286	6.024		
5ihh_protein	5ihh_ligand	6.888	1.973	11.882	4.338	4.025	5.596	7.964	6.468	5.229	5.582	6.811	8.588	7.374	7.734	7.585	6.539	6.219	6.426	6.497	11.28	11.882	5.693		
5ime_protein	5ime_ligand	7.733	1.999	11.251	8.591	9.096	8.367	8.752	7.56	8.396	8.501	11.251	5.037	8.03	3.24	8.66	8.191	7.736	6.44	3.455	10.332	9.108	6.905		
5ioz_protein	5ioz_ligand	6.34	0.827	7.538	5.891	5.53	6.28	7.029	6.076	6.208	5.694	6.049	6.915	5.035	7.538	7.506	7.336	6.526	6.34	7.014	4.286	7.002	6.064		
5ipc_protein	5ipc_ligand	6.661	2.127	11.079	3.473	6.454	6.974	4.399	6.335	9.148	6.036	8.422	6.175	5.24	3.849	8.943	7.434	7.456	11.079	8.59	8.005	4.342	3.117		
5ipj_protein	5ipj_ligand	8.051	1.76	11.493	6.375	6.142	6.636	11.493	7.562	6.282	9.462	11.277	7.447	7.232	6.296	9.739	8.786	8.357	8.977	8.43	10.77	6.071	6.89		
5itp_protein	5itp_ligand	5.84	2.396	8.624	3.875	8.384	5.614	3.594	6.709	5.683	6.019	5.542	6.401	7.22	7.639	8.197	8.624	7.649	-2.223	6.47	5.5	5.048	3.978		
5ito_protein	5ito_ligand	5.715	2.511	10.366	6.403	4.389	3.647	4.272	6.063	6.383	6.143	5.415	5.701	5.278	7.128	10.366	7.39	6.971	-2.947	6.698	4.881	5.497	7.742		
5irr_protein	5irr_ligand	4.126	4.739	15.475	2.146	15.475	6.339	3.159	2.123	7.672	10.184	7.033	6.32	3.682	3.267	3.916	-0.582	-0.869	11.456	-2.912	-1.134	-1.748	5.399		
5iyy_protein	5iyy_ligand	3.432	2.047	7.241	0.498	1.421	1.266	5.765	3.459	3.009	1.854	3.254	2.42	2.541	7.241	6.124	5.073	5.694	0.69	2.821	6.206	5.149	2.594		
5j0d_protein	5j0d_ligand	4.005	2.495	8.292	5.278	6.007	0.375	2.479	5.873	3.56	6.847	7.448	0.667	1.266	8.292	1.867	6.46	4.248	1.083	1.407	5.615	4.154	5.535		
5ive_protein	5ive_ligand	8.981	3.244	17.041	10.994	8.39	10.525	11.248	9.598	12.68	10.479	9.136	7.956	7.561	6.635	17.041	1.641	5.948	4.733	8.064	12.699	8.078	8.025		
5ivv_protein	5ivv_ligand	8.944	2.891	15.192	7.141	8.554	7.453	7.026	8.084	15.192	8.296	5.539	6.369	6.478	5.999	13.896	7.904	12.214	9.644	8.115	7.615	14.911	8.422		
5ivc_protein	5ivc_ligand	8.498	3.204	15.226	7.974	9.015	8.997	6.979	7.566	15.226	8.569	6.49	5.642	10.295	1.728	14.867	5.311	7.024	11.19	4.894	11.612	9.443	7.926		
5ivy_protein	5ivy_ligand	8.819	2.966	14.823	6.539	10.619	8.052	4.036	9.636	14.815	8.856	5.747	6.303	7.824	7.166	6.976	10.061	12.571	8.457	8.039	8.36	14.823	5.348		
5izj_protein	5izj_ligand	5.441	1.686	8.519	4.849	8.519	6.132	5.821	3.584	7.785	5.219	5.024	7.885	1.965	6.831	4.352	6.188	5.989	3.55	2.623	5.229	5.296	5.671		
5j1x_protein	5j1x_ligand	3.893	1.654	7.386	0.6	2.572	5.583	4.594	3.712	4.725	3.057	3.864	3.179	3.939	7.386	6.273	4.058	5.7	1.171	3.243	3.108	5.323	2.42		
5j1r_protein	5j1r_ligand	5.371	1.15	7.659	4.278	7.659	6.716	5.046	5.349	5.915	4.975	4.476	5.963	7.305	2.618	5.867	5.627	6.006	4.272	6.035	5.252	4.799	4.813		
5izf_protein	5izf_ligand	6.412	2.251	11.036	4.719	11.036	9.479	4.308	5.32	5.835	4.339	5.861	6.887	6.24	8.492	6.167	5.37	2.326	5.83	10.177	3.958	5.535	7.144		
5j2x_protein	5j2x_ligand	4.471	3.08	10.34	3.413	1.837	5.186	-0.685	7.02	4.05	7.365	5.19	4.076	-1.451	3.492	2.409	3.996	3.346	1.201	5.294	10.34	7.864	5.619		
5j3l_protein	5j3l_ligand	6.682	1.441	8.782	7.953	8.159	6.609	7.873	5.341	7.24	6.047	8.782	5.859	6.546	7.057	4.253	8.598	5.623	3.552	6.31	6.705	7.596	8.352		
5j7q_protein	5j7q_ligand	2.439	3.595	13.684	3.878	-1.236	1.713	6.52	4.447	6.62	0.01	2.749	2.665	0.045	2.827	13.684	-0.636	0.163	0.395	2.207	-1.639	4.563	-0.31		
5j6l_protein	5j6l_ligand	8.422	2.107	11.126	6.416	8.166	10.957	7.302	9.714	9.599	8.247	10.32	8.097	5.723	7.393	4.653	3.548	10.07	11.126	9.849	10.713	8.13	8.576		
5j6n_protein	5j6n_ligand	7.416	2.042	10.27	4.705	7.842	10.043	6.842	8.602	2.898	8.339	7.462	5.939	6.436	7.588	8.592	3.135	7.975	10.27	9.76	9.328	7.299	8.391		
5j8m_protein	5j8m_ligand	3.863	3.182	9.523	1.178	0.982	4.23	-0.671	3.215	3.526	6.902	8.318	3.906	-0.889	4.435	7.993	0.497	1.661	4.578	0.978	6.95	7.936	2.015		
