Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
5ka9_protein	5ka9_ligand	-84.623	-0.195	0.000	0.000	0.000	
5kcb_protein	5kcb_ligand	-93.910	-0.186	0.000	0.000	0.000	
5jsj_protein	5jsj_ligand	-165.680	-0.190	0.000	0.000	0.000	
5kab_protein	5kab_ligand	-81.470	-0.186	0.000	0.000	0.000	
5kax_protein	5kax_ligand	-141.222	-0.185	0.000	0.000	0.000	
5ka7_protein	5ka7_ligand	-106.463	-0.189	0.000	0.000	0.000	
5jhb_protein	5jhb_ligand	-104.392	-0.165	0.000	0.000	0.000	
5ka1_protein	5ka1_ligand	-104.671	-0.188	0.000	0.000	0.000	
5k9w_protein	5k9w_ligand	-103.046	-0.190	0.000	0.000	0.000	
5kej_protein	5kej_ligand	-97.457	-0.178	0.000	0.000	0.000	
5khm_protein	5khm_ligand	-152.540	-0.209	0.000	0.000	0.000	
5kad_protein	5kad_ligand	-102.678	-0.182	0.000	0.000	0.000	
5km9_protein	5km9_ligand	-81.542	-0.207	0.000	0.000	0.000	
5kby_protein	5kby_ligand	-103.380	-0.176	0.000	0.000	0.000	
5kat_protein	5kat_ligand	-100.601	-0.207	0.000	0.000	0.000	
5kqx_protein	5kqx_ligand	-214.065	-0.211	0.000	0.000	0.000	
5ko1_protein	5ko1_ligand	-113.155	-0.177	0.000	0.000	0.000	
5kr1_protein	5kr1_ligand	-178.155	-0.204	0.000	0.000	0.000	
5l2s_protein	5l2s_ligand	-148.624	-0.197	0.000	0.000	0.000	
5kz0_protein	5kz0_ligand	-123.907	-0.203	0.000	0.000	0.000	
5kr0_protein	5kr0_ligand	-172.802	-0.208	0.000	0.000	0.000	
5kqy_protein	5kqy_ligand	-190.258	-0.210	0.000	0.000	0.000	
5l7e_protein	5l7e_ligand	-117.377	-0.191	0.000	0.000	0.000	
5kva_protein	5kva_ligand	-176.521	-0.203	0.000	0.000	0.000	
5kma_protein	5kma_ligand	-130.999	-0.196	0.000	0.000	0.000	
5l4m_protein	5l4m_ligand	-44.493	-0.134	0.000	0.000	0.000	
5l7h_protein	5l7h_ligand	-140.818	-0.199	0.000	0.000	0.000	
5ko5_protein	5ko5_ligand	-49.489	-0.171	0.000	0.000	0.000	
5l9i_protein	5l9i_ligand	-115.791	-0.157	0.000	0.000	0.000	
5l7g_protein	5l7g_ligand	-152.404	-0.184	0.000	0.000	0.000	
5lli_protein	5lli_ligand	-152.239	-0.219	0.000	0.000	0.000	
5l4i_protein	5l4i_ligand	-80.137	-0.193	0.000	0.000	0.000	
5lne_protein	5lne_ligand	-73.987	-0.160	0.000	0.000	0.000	
5l9g_protein	5l9g_ligand	-106.027	-0.145	0.000	0.000	0.000	
5ldp_protein	5ldp_ligand	-74.129	-0.154	0.000	0.000	0.000	
5kly_protein	5kly_ligand	-164.300	-0.200	0.000	0.000	0.000	
5l30_protein	5l30_ligand	-167.588	-0.166	0.000	0.000	0.000	
5lom_protein	5lom_ligand	-150.883	-0.208	0.000	0.000	0.000	
5lsg_protein	5lsg_ligand	-130.691	-0.167	0.000	0.000	0.000	
5lsh_protein	5lsh_ligand	-132.229	-0.186	0.000	0.000	0.000	
5l8a_protein	5l8a_ligand	-129.529	-0.205	0.000	0.000	0.000	
5ld8_protein	5ld8_ligand	-113.094	-0.219	0.000	0.000	0.000	
5ltn_protein	5ltn_ligand	-6.845	-0.042	0.000	0.000	0.000	
5lso_protein	5lso_ligand	-167.567	-0.216	0.000	0.000	0.000	
5l9o_protein	5l9o_ligand	-136.749	-0.184	0.000	0.000	0.000	
5l3a_protein	5l3a_ligand	-60.493	-0.197	0.000	0.000	0.000	
5l4j_protein	5l4j_ligand	-53.398	-0.176	0.000	0.000	0.000	
5l9l_protein	5l9l_ligand	-107.637	-0.143	0.000	0.000	0.000	
5kr2_protein	5kr2_ligand	-202.033	-0.211	0.000	0.000	0.000	
5lvl_protein	5lvl_ligand	-88.150	-0.205	0.000	0.000	0.000	
5lyr_protein	5lyr_ligand	-110.389	-0.207	0.000	0.000	0.000	
5lz4_protein	5lz4_ligand	-116.501	-0.199	0.000	0.000	0.000	
5ldm_protein	5ldm_ligand	-63.376	-0.182	0.000	0.000	0.000	
5lud_protein	5lud_ligand	-36.943	-0.162	0.000	0.000	0.000	
5m04_protein	5m04_ligand	-120.420	-0.184	0.000	0.000	0.000	
5lz7_protein	5lz7_ligand	-122.753	-0.192	0.000	0.000	0.000	
5m7s_protein	5m7s_ligand	-89.969	-0.170	0.000	0.000	0.000	
5m7u_protein	5m7u_ligand	-119.410	-0.174	0.000	0.000	0.000	
5lz5_protein	5lz5_ligand	-129.404	-0.203	0.000	0.000	0.000	
5lvq_protein	5lvq_ligand	-93.042	-0.225	0.000	0.000	0.000	
5lwm_protein	5lwm_ligand	-141.014	-0.219	0.000	0.000	0.000	
5mg2_protein	5mg2_ligand	-124.620	-0.219	0.000	0.000	0.000	
5m25_protein	5m25_ligand	-136.874	-0.181	0.000	0.000	0.000	
5lvr_protein	5lvr_ligand	-51.562	-0.159	0.000	0.000	0.000	
5lny_protein	5lny_ligand	-139.561	-0.195	0.000	0.000	0.000	
5mes_protein	5mes_ligand	-139.703	-0.200	0.000	0.000	0.000	
5mge_protein	5mge_ligand	-61.171	-0.215	0.000	0.000	0.000	
5m5d_protein	5m5d_ligand	-103.351	-0.205	0.000	0.000	0.000	
5m23_protein	5m23_ligand	-134.760	-0.178	0.000	0.000	0.000	
5m17_protein	5m17_ligand	-109.717	-0.214	0.000	0.000	0.000	
5m28_protein	5m28_ligand	-126.770	-0.174	0.000	0.000	0.000	
5meh_protein	5meh_ligand	-46.600	-0.150	0.000	0.000	0.000	
5mgj_protein	5mgj_ligand	-56.553	-0.201	0.000	0.000	0.000	
5mby_protein	5mby_ligand	-53.374	-0.193	0.000	0.000	0.000	
5mgf_protein	5mgf_ligand	-46.373	-0.204	0.000	0.000	0.000	
5mmg_protein	5mmg_ligand	-89.758	-0.196	0.000	0.000	0.000	
5mlj_protein	5mlj_ligand	-111.113	-0.218	0.000	0.000	0.000	
5mme_protein	5mme_ligand	-92.554	-0.190	0.000	0.000	0.000	
5mgk_protein	5mgk_ligand	-49.235	-0.200	0.000	0.000	0.000	
5mek_protein	5mek_ligand	-175.340	-0.194	0.000	0.000	0.000	
5mpk_protein	5mpk_ligand	-96.552	-0.178	0.000	0.000	0.000	
5mpz_protein	5mpz_ligand	-51.269	-0.184	0.000	0.000	0.000	
5mks_protein	5mks_ligand	-110.156	-0.173	0.000	0.000	0.000	
5mkr_protein	5mkr_ligand	-111.481	-0.157	0.000	0.000	0.000	
5mo8_protein	5mo8_ligand	-174.140	-0.200	0.000	0.000	0.000	
5mpn_protein	5mpn_ligand	-72.247	-0.183	0.000	0.000	0.000	
5mnn_protein	5mnn_ligand	-69.077	-0.203	0.000	0.000	0.000	
5mn1_protein	5mn1_ligand	-43.954	-0.155	0.000	0.000	0.000	
5mqe_protein	5mqe_ligand	-45.613	-0.216	0.000	0.000	0.000	
5mod_protein	5mod_ligand	-65.703	-0.196	0.000	0.000	0.000	
5mwh_protein	5mwh_ligand	-123.275	-0.223	0.000	0.000	0.000	
5my8_protein	5my8_ligand	-186.309	-0.211	0.000	0.000	0.000	
5n1z_protein	5n1z_ligand	-126.897	-0.164	0.000	0.000	0.000	
5mrb_protein	5mrb_ligand	-167.085	-0.208	0.000	0.000	0.000	
5n9r_protein	5n9r_ligand	-188.375	-0.223	0.000	0.000	0.000	
5mz8_protein	5mz8_ligand	-51.924	-0.170	0.000	0.000	0.000	
5mwy_protein	5mwy_ligand	-162.748	-0.217	0.000	0.000	0.000	
5mwp_protein	5mwp_ligand	-144.718	-0.186	0.000	0.000	0.000	
5neb_protein	5neb_ligand	-94.584	-0.190	0.000	0.000	0.000	
5n99_protein	5n99_ligand	-143.279	-0.175	0.000	0.000	0.000	
5n84_protein	5n84_ligand	-109.897	-0.207	0.000	0.000	0.000	
5n6s_protein	5n6s_ligand	-116.549	-0.195	0.000	0.000	0.000	
5ne5_protein	5ne5_ligand	-69.374	-0.182	0.000	0.000	0.000	
5mxf_protein	5mxf_ligand	-68.596	-0.215	0.000	0.000	0.000	
5n93_protein	5n93_ligand	-105.353	-0.176	0.000	0.000	0.000	
5nap_protein	5nap_ligand	-130.190	-0.197	0.000	0.000	0.000	
5nbw_protein	5nbw_ligand	-122.820	-0.197	0.000	0.000	0.000	
5njz_protein	5njz_ligand	-130.016	-0.190	0.000	0.000	0.000	
5ndf_protein	5ndf_ligand	-52.547	-0.157	0.000	0.000	0.000	
5nk8_protein	5nk8_ligand	-139.150	-0.192	0.000	0.000	0.000	
5nih_protein	5nih_ligand	-95.885	-0.197	0.000	0.000	0.000	
5n17_protein	5n17_ligand	-84.676	-0.218	0.000	0.000	0.000	
5nk6_protein	5nk6_ligand	-133.759	-0.202	0.000	0.000	0.000	
5nk2_protein	5nk2_ligand	-143.763	-0.205	0.000	0.000	0.000	
5nk9_protein	5nk9_ligand	-126.062	-0.191	0.000	0.000	0.000	
5nkg_protein	5nkg_ligand	-135.722	-0.189	0.000	0.000	0.000	
5nkb_protein	5nkb_ligand	-153.600	-0.214	0.000	0.000	0.000	
5nka_protein	5nka_ligand	-131.981	-0.191	0.000	0.000	0.000	
5n18_protein	5n18_ligand	-92.407	-0.198	0.000	0.000	0.000	
5nkc_protein	5nkc_ligand	-134.964	-0.182	0.000	0.000	0.000	
5nkd_protein	5nkd_ligand	-134.863	-0.189	0.000	0.000	0.000	
5ngz_protein	5ngz_ligand	-48.812	-0.155	0.000	0.000	0.000	
5nlk_protein	5nlk_ligand	-114.119	-0.185	0.000	0.000	0.000	
5nk4_protein	5nk4_ligand	-137.374	-0.195	0.000	0.000	0.000	
5nn5_protein	5nn5_ligand	-58.929	-0.154	0.000	0.000	0.000	
5nkh_protein	5nkh_ligand	-138.976	-0.190	0.000	0.000	0.000	
5nw0_protein	5nw0_ligand	-154.455	-0.216	0.000	0.000	0.000	
5nvx_protein	5nvx_ligand	-154.661	-0.213	0.000	0.000	0.000	
5nw1_protein	5nw1_ligand	-151.949	-0.216	0.000	0.000	0.000	
5nau_protein	5nau_ligand	-121.682	-0.192	0.000	0.000	0.000	
5nk7_protein	5nk7_ligand	-131.070	-0.187	0.000	0.000	0.000	
5nvw_protein	5nvw_ligand	-155.686	-0.213	0.000	0.000	0.000	
5nki_protein	5nki_ligand	-141.432	-0.199	0.000	0.000	0.000	
5nk3_protein	5nk3_ligand	-139.063	-0.204	0.000	0.000	0.000	
5nvv_protein	5nvv_ligand	-145.686	-0.203	0.000	0.000	0.000	
5nz4_protein	5nz4_ligand	-88.541	-0.191	0.000	0.000	0.000	
5nw2_protein	5nw2_ligand	-158.089	-0.220	0.000	0.000	0.000	
5nwi_protein	5nwi_ligand	-101.861	-0.157	0.000	0.000	0.000	
5nn6_protein	5nn6_ligand	-74.146	-0.160	0.000	0.000	0.000	
5nyh_protein	5nyh_ligand	-135.979	-0.197	0.000	0.000	0.000	
5nze_protein	5nze_ligand	-90.685	-0.193	0.000	0.000	0.000	
5nwe_protein	5nwe_ligand	-84.318	-0.189	0.000	0.000	0.000	
5o5a_protein	5o5a_ligand	-117.654	-0.211	0.000	0.000	0.000	
5o2d_protein	5o2d_ligand	-144.058	-0.205	0.000	0.000	0.000	
5nzf_protein	5nzf_ligand	-86.720	-0.191	0.000	0.000	0.000	
5o9p_protein	5o9p_ligand	-157.303	-0.168	0.000	0.000	0.000	
5nzn_protein	5nzn_ligand	-87.326	-0.189	0.000	0.000	0.000	
5o9o_protein	5o9o_ligand	-153.601	-0.169	0.000	0.000	0.000	
5o9y_protein	5o9y_ligand	-161.027	-0.177	0.000	0.000	0.000	
5oa6_protein	5oa6_ligand	-159.784	-0.170	0.000	0.000	0.000	
5o58_protein	5o58_ligand	-152.673	-0.156	0.000	0.000	0.000	
5o9r_protein	5o9r_ligand	-147.030	-0.174	0.000	0.000	0.000	
5o9q_protein	5o9q_ligand	-153.235	-0.174	0.000	0.000	0.000	
5o87_protein	5o87_ligand	-84.476	-0.196	0.000	0.000	0.000	
5ogb_protein	5ogb_ligand	-124.689	-0.219	0.000	0.000	0.000	
5odx_protein	5odx_ligand	-139.066	-0.181	0.000	0.000	0.000	
5oku_protein	5oku_ligand	-67.388	-0.179	0.000	0.000	0.000	
5oaj_protein	5oaj_ligand	-55.276	-0.206	0.000	0.000	0.000	
5obg_protein	5obg_ligand	-139.883	-0.207	0.000	0.000	0.000	
5om2_protein	5om2_ligand	-117.528	-0.164	0.000	0.000	0.000	
5oei_protein	5oei_ligand	-65.634	-0.168	0.000	0.000	0.000	
5op5_protein	5op5_ligand	-118.290	-0.222	0.000	0.000	0.000	
5om7_protein	5om7_ligand	-131.727	-0.158	0.000	0.000	0.000	
5oqu_protein	5oqu_ligand	-89.588	-0.180	0.000	0.000	0.000	
5oot_protein	5oot_ligand	-137.331	-0.208	0.000	0.000	0.000	
5op4_protein	5op4_ligand	-117.229	-0.191	0.000	0.000	0.000	
5om3_protein	5om3_ligand	-122.510	-0.174	0.000	0.000	0.000	
5oht_protein	5oht_ligand	-79.662	-0.191	0.000	0.000	0.000	
5org_protein	5org_ligand	-120.600	-0.186	0.000	0.000	0.000	
5ork_protein	5ork_ligand	-85.614	-0.192	0.000	0.000	0.000	
5ohy_protein	5ohy_ligand	-72.703	-0.168	0.000	0.000	0.000	
5os5_protein	5os5_ligand	-59.135	-0.168	0.000	0.000	0.000	
5orj_protein	5orj_ligand	-92.903	-0.194	0.000	0.000	0.000	
5os4_protein	5os4_ligand	-70.950	-0.207	0.000	0.000	0.000	
5orw_protein	5orw_ligand	-63.058	-0.194	0.000	0.000	0.000	
5osl_protein	5osl_ligand	-56.886	-0.186	0.000	0.000	0.000	
5orv_protein	5orv_ligand	-37.161	-0.157	0.000	0.000	0.000	
5orh_protein	5orh_ligand	-74.710	-0.197	0.000	0.000	0.000	
5ose_protein	5ose_ligand	-29.886	-0.142	0.000	0.000	0.000	
5oss_protein	5oss_ligand	-80.609	-0.166	0.000	0.000	0.000	
5ost_protein	5ost_ligand	-76.417	-0.154	0.000	0.000	0.000	
5ovc_protein	5ovc_ligand	-191.796	-0.222	0.000	0.000	0.000	
5oq8_protein	5oq8_ligand	-149.316	-0.224	0.000	0.000	0.000	
5ot9_protein	5ot9_ligand	-93.877	-0.169	0.000	0.000	0.000	
5ota_protein	5ota_ligand	-99.023	-0.198	0.000	0.000	0.000	
5os2_protein	5os2_ligand	-59.676	-0.207	0.000	0.000	0.000	
5ov8_protein	5ov8_ligand	-114.788	-0.210	0.000	0.000	0.000	
5otc_protein	5otc_ligand	-84.966	-0.185	0.000	0.000	0.000	
5os8_protein	5os8_ligand	-65.067	-0.200	0.000	0.000	0.000	
5ovv_protein	5ovv_ligand	-180.251	-0.222	0.000	0.000	0.000	
5ot8_protein	5ot8_ligand	-120.316	-0.196	0.000	0.000	0.000	
5os7_protein	5os7_ligand	-115.489	-0.207	0.000	0.000	0.000	
5otz_protein	5otz_ligand	-100.581	-0.205	0.000	0.000	0.000	
5ovp_protein	5ovp_ligand	-180.588	-0.235	0.000	0.000	0.000	
5otr_protein	5otr_ligand	-91.859	-0.220	0.000	0.000	0.000	
5ovr_protein	5ovr_ligand	-95.435	-0.165	0.000	0.000	0.000	
5qqp_protein	5qqp_ligand	-205.852	-0.215	0.000	0.000	0.000	
5sym_protein	5sym_ligand	-152.107	-0.185	0.000	0.000	0.000	
5qa8_protein	5qa8_ligand	-42.481	-0.176	0.000	0.000	0.000	
5t7s_protein	5t7s_ligand	-61.465	-0.182	0.000	0.000	0.000	
5qay_protein	5qay_ligand	-38.736	-0.167	0.000	0.000	0.000	
5qtt_protein	5qtt_ligand	-202.281	-0.193	0.000	0.000	0.000	
5t8p_protein	5t8p_ligand	-91.231	-0.208	0.000	0.000	0.000	
5owl_protein	5owl_ligand	-48.646	-0.134	0.000	0.000	0.000	
5sxm_protein	5sxm_ligand	-162.863	-0.195	0.000	0.000	0.000	
5ovx_protein	5ovx_ligand	-97.439	-0.167	0.000	0.000	0.000	
5qal_protein	5qal_ligand	-39.599	-0.152	0.000	0.000	0.000	
5oxk_protein	5oxk_ligand	-59.525	-0.149	0.000	0.000	0.000	
5ta4_protein	5ta4_ligand	-116.363	-0.201	0.000	0.000	0.000	
5t19_protein	5t19_ligand	-118.484	-0.184	0.000	0.000	0.000	
5t9z_protein	5t9z_ligand	-123.004	-0.205	0.000	0.000	0.000	
5tb6_protein	5tb6_ligand	-75.284	-0.220	0.000	0.000	0.000	
5tmp_protein	5tmp_ligand	-195.027	-0.150	0.000	0.000	0.000	
5tkj_protein	5tkj_ligand	-172.228	-0.221	0.000	0.000	0.000	
5std_protein	5std_ligand	-119.644	-0.179	0.000	0.000	0.000	
5tpx_protein	5tpx_ligand	-132.405	-0.210	0.000	0.000	0.000	
5t9u_protein	5t9u_ligand	-111.701	-0.186	0.000	0.000	0.000	
5tkk_protein	5tkk_ligand	-190.998	-0.196	0.000	0.000	0.000	
5t9w_protein	5t9w_ligand	-108.637	-0.198	0.000	0.000	0.000	
5t8o_protein	5t8o_ligand	-113.208	-0.193	0.000	0.000	0.000	
5twj_protein	5twj_ligand	-137.378	-0.184	0.000	0.000	0.000	
5u0z_protein	5u0z_ligand	-70.758	-0.143	0.000	0.000	0.000	
5ta2_protein	5ta2_ligand	-128.102	-0.210	0.000	0.000	0.000	
5u0y_protein	5u0y_ligand	-54.924	-0.136	0.000	0.000	0.000	
5u28_protein	5u28_ligand	-98.032	-0.201	0.000	0.000	0.000	
5u8c_protein	5u8c_ligand	-111.746	-0.156	0.000	0.000	0.000	
5tcj_protein	5tcj_ligand	-104.212	-0.193	0.000	0.000	0.000	
5u4b_protein	5u4b_ligand	-75.124	-0.198	0.000	0.000	0.000	
5u4d_protein	5u4d_ligand	-69.937	-0.153	0.000	0.000	0.000	
5ttw_protein	5ttw_ligand	-123.450	-0.200	0.000	0.000	0.000	
5u0w_protein	5u0w_ligand	-59.205	-0.171	0.000	0.000	0.000	
5tbm_protein	5tbm_ligand	-117.061	-0.147	0.000	0.000	0.000	
5u6j_protein	5u6j_ligand	-154.993	-0.168	0.000	0.000	0.000	
5tef_protein	5tef_ligand	-95.530	-0.162	0.000	0.000	0.000	
5u11_protein	5u11_ligand	-76.730	-0.164	0.000	0.000	0.000	
5u14_protein	5u14_ligand	-124.015	-0.184	0.000	0.000	0.000	
5tbe_protein	5tbe_ligand	-196.333	-0.191	0.000	0.000	0.000	
5u12_protein	5u12_ligand	-90.108	-0.166	0.000	0.000	0.000	
5u13_protein	5u13_ligand	-95.664	-0.171	0.000	0.000	0.000	
5uf0_protein	5uf0_ligand	-63.480	-0.218	0.000	0.000	0.000	
5ult_protein	5ult_ligand	-186.594	-0.196	0.000	0.000	0.000	
5ueu_protein	5ueu_ligand	-98.675	-0.207	0.000	0.000	0.000	
5uc4_protein	5uc4_ligand	-102.906	-0.191	0.000	0.000	0.000	
5ucj_protein	5ucj_ligand	-116.794	-0.198	0.000	0.000	0.000	
5umx_protein	5umx_ligand	-112.640	-0.178	0.000	0.000	0.000	
5ula_protein	5ula_ligand	-74.253	-0.203	0.000	0.000	0.000	
5uff_protein	5uff_ligand	-82.791	-0.196	0.000	0.000	0.000	
5ulp_protein	5ulp_ligand	-162.024	-0.190	0.000	0.000	0.000	
5uov_protein	5uov_ligand	-222.589	-0.208	0.000	0.000	0.000	
5uez_protein	5uez_ligand	-87.802	-0.212	0.000	0.000	0.000	
5uoo_protein	5uoo_ligand	-105.632	-0.202	0.000	0.000	0.000	
5ufr_protein	5ufr_ligand	-139.941	-0.191	0.000	0.000	0.000	
5ufc_protein	5ufc_ligand	-111.754	-0.204	0.000	0.000	0.000	
5ufs_protein	5ufs_ligand	-171.167	-0.224	0.000	0.000	0.000	
5uv2_protein	5uv2_ligand	-53.896	-0.140	0.000	0.000	0.000	
5upz_protein	5upz_ligand	-202.718	-0.203	0.000	0.000	0.000	
5ufp_protein	5ufp_ligand	-127.158	-0.149	0.000	0.000	0.000	
5uxf_protein	5uxf_ligand	-167.148	-0.181	0.000	0.000	0.000	
5v79_protein	5v79_ligand	-93.581	-0.170	0.000	0.000	0.000	
5v7a_protein	5v7a_ligand	-65.634	-0.149	0.000	0.000	0.000	
5v0n_protein	5v0n_ligand	-249.147	-0.216	0.000	0.000	0.000	
5vb5_protein	5vb5_ligand	-165.005	-0.191	0.000	0.000	0.000	
5vb6_protein	5vb6_ligand	-175.764	-0.202	0.000	0.000	0.000	
5uk8_protein	5uk8_ligand	-127.101	-0.187	0.000	0.000	0.000	
5vd0_protein	5vd0_ligand	-162.552	-0.212	0.000	0.000	0.000	
5v82_protein	5v82_ligand	-126.474	-0.195	0.000	0.000	0.000	
5vb7_protein	5vb7_ligand	-171.905	-0.214	0.000	0.000	0.000	
5upf_protein	5upf_ligand	-156.009	-0.198	0.000	0.000	0.000	
5vcy_protein	5vcy_ligand	-137.874	-0.189	0.000	0.000	0.000	
5upe_protein	5upe_ligand	-149.137	-0.197	0.000	0.000	0.000	
5ut6_protein	5ut6_ligand	-100.965	-0.180	0.000	0.000	0.000	
5vc3_protein	5vc3_ligand	-144.048	-0.195	0.000	0.000	0.000	
5vja_protein	5vja_ligand	-85.567	-0.181	0.000	0.000	0.000	
5vcv_protein	5vcv_ligand	-157.970	-0.216	0.000	0.000	0.000	
5upj_protein	5upj_ligand	-100.402	-0.197	0.000	0.000	0.000	
5vc4_protein	5vc4_ligand	-147.728	-0.196	0.000	0.000	0.000	
5vd2_protein	5vd2_ligand	-124.961	-0.172	0.000	0.000	0.000	
5vl2_protein	5vl2_ligand	-124.314	-0.199	0.000	0.000	0.000	
5vcz_protein	5vcz_ligand	-145.129	-0.201	0.000	0.000	0.000	
5vd3_protein	5vd3_ligand	-155.798	-0.199	0.000	0.000	0.000	
5vo1_protein	5vo1_ligand	-123.301	-0.214	0.000	0.000	0.000	
5vh0_protein	5vh0_ligand	-85.493	-0.176	0.000	0.000	0.000	
5w44_protein	5w44_ligand	-49.239	-0.130	0.000	0.000	0.000	
5vih_protein	5vih_ligand	-98.158	-0.148	0.000	0.000	0.000	
5vyy_protein	5vyy_ligand	-106.175	-0.175	0.000	0.000	0.000	
5wa8_protein	5wa8_ligand	-136.006	-0.187	0.000	0.000	0.000	
5vd1_protein	5vd1_ligand	-151.740	-0.210	0.000	0.000	0.000	
5wa5_protein	5wa5_ligand	-102.963	-0.191	0.000	0.000	0.000	
5vm0_protein	5vm0_ligand	-119.171	-0.191	0.000	0.000	0.000	
5var_protein	5var_ligand	-87.205	-0.218	0.000	0.000	0.000	
5vcw_protein	5vcw_ligand	-128.571	-0.178	0.000	0.000	0.000	
5w1e_protein	5w1e_ligand	-56.808	-0.181	0.000	0.000	0.000	
5w2s_protein	5w2s_ligand	-105.390	-0.211	0.000	0.000	0.000	
5vij_protein	5vij_ligand	-101.637	-0.166	0.000	0.000	0.000	
5wal_protein	5wal_ligand	-113.546	-0.203	0.000	0.000	0.000	
5umy_protein	5umy_ligand	-142.618	-0.169	0.000	0.000	0.000	
5we9_protein	5we9_ligand	-44.956	-0.123	0.000	0.000	0.000	
5wa9_protein	5wa9_ligand	-141.079	-0.199	0.000	0.000	0.000	
5wmg_protein	5wmg_ligand	-106.959	-0.201	0.000	0.000	0.000	
5vr8_protein	5vr8_ligand	-180.262	-0.194	0.000	0.000	0.000	
5vsj_protein	5vsj_ligand	-121.398	-0.154	0.000	0.000	0.000	
5wlo_protein	5wlo_ligand	-231.605	-0.218	0.000	0.000	0.000	
5wuk_protein	5wuk_ligand	-110.741	-0.167	0.000	0.000	0.000	
5wl0_protein	5wl0_ligand	-133.577	-0.171	0.000	0.000	0.000	
5wp5_protein	5wp5_ligand	-162.843	-0.209	0.000	0.000	0.000	
5win_protein	5win_ligand	-97.964	-0.167	0.000	0.000	0.000	
5x62_protein	5x62_ligand	-166.690	-0.207	0.000	0.000	0.000	
5xo7_protein	5xo7_ligand	-125.011	-0.175	0.000	0.000	0.000	
5wqc_protein	5wqc_ligand	-112.268	-0.178	0.000	0.000	0.000	
5wbm_protein	5wbm_ligand	-100.748	-0.214	0.000	0.000	0.000	
5x74_protein	5x74_ligand	-203.991	-0.220	0.000	0.000	0.000	
5wij_protein	5wij_ligand	-105.809	-0.173	0.000	0.000	0.000	
5xmx_protein	5xmx_ligand	-175.821	-0.210	0.000	0.000	0.000	
5x54_protein	5x54_ligand	-158.775	-0.191	0.000	0.000	0.000	
5xva_protein	5xva_ligand	-124.122	-0.210	0.000	0.000	0.000	
5wbo_protein	5wbo_ligand	-87.349	-0.225	0.000	0.000	0.000	
5wyz_protein	5wyz_ligand	-129.556	-0.199	0.000	0.000	0.000	
5xg5_protein	5xg5_ligand	-54.144	-0.154	0.000	0.000	0.000	
5y13_protein	5y13_ligand	-73.806	-0.158	0.000	0.000	0.000	
5xpi_protein	5xpi_ligand	-50.670	-0.155	0.000	0.000	0.000	
5yfs_protein	5yfs_ligand	-127.557	-0.193	0.000	0.000	0.000	
5yas_protein	5yas_ligand	-45.717	-0.137	0.000	0.000	0.000	
5yhe_protein	5yhe_ligand	-114.217	-0.171	0.000	0.000	0.000	
5y8y_protein	5y8y_ligand	-74.771	-0.192	0.000	0.000	0.000	
5yj8_protein	5yj8_ligand	-48.816	-0.140	0.000	0.000	0.000	
5ya5_protein	5ya5_ligand	-125.868	-0.199	0.000	0.000	0.000	
5y94_protein	5y94_ligand	-74.285	-0.193	0.000	0.000	0.000	
5ymx_protein	5ymx_ligand	-146.613	-0.204	0.000	0.000	0.000	
5yyf_protein	5yyf_ligand	-201.383	-0.187	0.000	0.000	0.000	
5yh8_protein	5yh8_ligand	-116.115	-0.171	0.000	0.000	0.000	
5yqx_protein	5yqx_ligand	-88.362	-0.216	0.000	0.000	0.000	
5xsr_protein	5xsr_ligand	-104.226	-0.157	0.000	0.000	0.000	
5yhg_protein	5yhg_ligand	-111.540	-0.162	0.000	0.000	0.000	
5yft_protein	5yft_ligand	-125.987	-0.190	0.000	0.000	0.000	
5yl2_protein	5yl2_ligand	-156.956	-0.204	0.000	0.000	0.000	
5wyx_protein	5wyx_ligand	-116.973	-0.179	0.000	0.000	0.000	
5z5f_protein	5z5f_ligand	-65.153	-0.176	0.000	0.000	0.000	
5zae_protein	5zae_ligand	-101.290	-0.160	0.000	0.000	0.000	
5z66_protein	5z66_ligand	-145.634	-0.186	0.000	0.000	0.000	
5z7j_protein	5z7j_ligand	-116.447	-0.176	0.000	0.000	0.000	
5zaj_protein	5zaj_ligand	-112.260	-0.156	0.000	0.000	0.000	
5z7b_protein	5z7b_ligand	-67.935	-0.152	0.000	0.000	0.000	
5za7_protein	5za7_ligand	-85.368	-0.153	0.000	0.000	0.000	
5za8_protein	5za8_ligand	-98.758	-0.161	0.000	0.000	0.000	
5z99_protein	5z99_ligand	-113.351	-0.185	0.000	0.000	0.000	
5zag_protein	5zag_ligand	-95.007	-0.151	0.000	0.000	0.000	
5zni_protein	5zni_ligand	-97.721	-0.147	0.000	0.000	0.000	
5yz2_protein	5yz2_ligand	-83.660	-0.178	0.000	0.000	0.000	
5zvw_protein	5zvw_ligand	-161.795	-0.174	0.000	0.000	0.000	
5zdb_protein	5zdb_ligand	-194.477	-0.180	0.000	0.000	0.000	
5znc_protein	5znc_ligand	-134.493	-0.184	0.000	0.000	0.000	
5zc5_protein	5zc5_ligand	-121.382	-0.168	0.000	0.000	0.000	
5zyg_protein	5zyg_ligand	-111.898	-0.194	0.000	0.000	0.000	
6a87_protein	6a87_ligand	-72.364	-0.170	0.000	0.000	0.000	
5zg1_protein	5zg1_ligand	-149.860	-0.222	0.000	0.000	0.000	
