Receptor	Ligand	DV20_Score_pK
5fso_protein	5fso_ligand	3.780000
5fol_protein	5fol_ligand	7.010000
5fsx_protein	5fsx_ligand	5.500000
5fsy_protein	5fsy_ligand	5.900000
5fto_protein	5fto_ligand	8.920000
5fsc_protein	5fsc_ligand	3.260000
5fyx_protein	5fyx_ligand	5.340000
5fut_protein	5fut_ligand	5.250000
5g4m_protein	5g4m_ligand	5.390000
5ftg_protein	5ftg_ligand	6.140000
5g4n_protein	5g4n_ligand	5.580000
5g2g_protein	5g2g_ligand	6.650000
5g1z_protein	5g1z_ligand	5.550000
5g2b_protein	5g2b_ligand	8.160000
5g4o_protein	5g4o_ligand	6.290000
5g5v_protein	5g5v_ligand	8.220000
5g5f_protein	5g5f_ligand	2.780000
5g1a_protein	5g1a_ligand	8.190000
5g45_protein	5g45_ligand	4.950000
5g46_protein	5g46_ligand	3.860000
5g17_protein	5g17_ligand	7.260000
5g57_protein	5g57_ligand	7.340000
5gja_protein	5gja_ligand	2.790000
5gj9_protein	5gj9_ligand	2.940000
5gmn_protein	5gmn_ligand	7.420000
5g5z_protein	5g5z_ligand	4.560000
5gof_protein	5gof_ligand	6.030000
5g60_protein	5g60_ligand	4.230000
5h1t_protein	5h1t_ligand	3.230000
5h1u_protein	5h1u_ligand	3.420000
5g61_protein	5g61_ligand	4.130000
5h1v_protein	5h1v_ligand	4.840000
5gs9_protein	5gs9_ligand	6.180000
5gsa_protein	5gsa_ligand	7.300000
5h5f_protein	5h5f_ligand	6.410000
5h8e_protein	5h8e_ligand	8.270000
5h85_protein	5h85_ligand	4.170000
5h9r_protein	5h9r_ligand	5.690000
5ha1_protein	5ha1_ligand	6.620000
5h8g_protein	5h8g_ligand	7.890000
5hbn_protein	5hbn_ligand	3.590000
5hbs_protein	5hbs_ligand	7.210000
5hcv_protein	5hcv_ligand	10.820000
5hrv_protein	5hrv_ligand	6.840000
5hct_protein	5hct_ligand	6.260000
5hcy_protein	5hcy_ligand	8.360000
5hrw_protein	5hrw_ligand	6.630000
5his_protein	5his_ligand	3.290000
5hjq_protein	5hjq_ligand	3.100000
5hi7_protein	5hi7_ligand	6.000000
5gmh_protein	5gmh_ligand	7.100000
5hrx_protein	5hrx_ligand	6.350000
5htl_protein	5htl_ligand	8.640000
5hva_protein	5hva_ligand	5.500000
5hu9_protein	5hu9_ligand	10.310000
5htz_protein	5htz_ligand	8.140000
5hvs_protein	5hvs_ligand	8.110000
5hvt_protein	5hvt_ligand	7.880000
5hz6_protein	5hz6_ligand	7.860000
5hz5_protein	5hz5_ligand	8.920000
5hz8_protein	5hz8_ligand	8.600000
5hwu_protein	5hwu_ligand	5.910000
5hz9_protein	5hz9_ligand	6.770000
5i1q_protein	5i1q_ligand	7.060000
5hwv_protein	5hwv_ligand	4.230000
5i2e_protein	5i2e_ligand	6.680000
5i2f_protein	5i2f_ligand	4.350000
5i7x_protein	5i7x_ligand	6.290000
5i7y_protein	5i7y_ligand	6.790000
5i3v_protein	5i3v_ligand	7.030000
5i3a_protein	5i3a_ligand	1.740000
5i3w_protein	5i3w_ligand	9.430000
5i3x_protein	5i3x_ligand	8.080000
5i80_protein	5i80_ligand	6.340000
5i8g_protein	5i8g_ligand	7.410000
5i88_protein	5i88_ligand	6.560000
5i29_protein	5i29_ligand	6.900000
5i3y_protein	5i3y_ligand	8.430000
5i9x_protein	5i9x_ligand	7.490000
5i9y_protein	5i9y_ligand	8.130000
5i9z_protein	5i9z_ligand	7.030000
5ia0_protein	5ia0_ligand	6.990000
5ia1_protein	5ia1_ligand	6.700000
5ia2_protein	5ia2_ligand	8.280000
5ia3_protein	5ia3_ligand	7.960000
5ia4_protein	5ia4_ligand	9.160000
5ii2_protein	5ii2_ligand	7.190000
5igm_protein	5igm_ligand	7.710000
5ijr_protein	5ijr_ligand	3.430000
5ia5_protein	5ia5_ligand	9.450000
5ie1_protein	5ie1_ligand	5.990000
5ih9_protein	5ih9_ligand	7.160000
5ikb_protein	5ikb_ligand	6.670000
5ime_protein	5ime_ligand	7.510000
5ipc_protein	5ipc_ligand	6.440000
5ioz_protein	5ioz_ligand	7.120000
5ihh_protein	5ihh_ligand	5.820000
5ipj_protein	5ipj_ligand	7.870000
5irr_protein	5irr_ligand	4.600000
5ito_protein	5ito_ligand	6.020000
5itp_protein	5itp_ligand	6.110000
5ive_protein	5ive_ligand	7.410000
5ivc_protein	5ivc_ligand	5.900000
5iyy_protein	5iyy_ligand	4.170000
5ivv_protein	5ivv_ligand	5.060000
5ivy_protein	5ivy_ligand	5.220000
5j0d_protein	5j0d_ligand	6.080000
5iwg_protein	5iwg_ligand	8.470000
5ix0_protein	5ix0_ligand	8.950000
5j1x_protein	5j1x_ligand	4.250000
5izf_protein	5izf_ligand	7.190000
5izj_protein	5izj_ligand	5.920000
5j1r_protein	5j1r_ligand	6.210000
5j2x_protein	5j2x_ligand	6.830000
5isz_protein	5isz_ligand	9.040000
5j3l_protein	5j3l_ligand	6.710000
5j7q_protein	5j7q_ligand	4.200000
5j6m_protein	5j6m_ligand	7.230000
5j6n_protein	5j6n_ligand	7.650000
5j6l_protein	5j6l_ligand	7.270000
5j8z_protein	5j8z_ligand	6.210000
5j20_protein	5j20_ligand	7.360000
5j27_protein	5j27_ligand	7.640000
5j8m_protein	5j8m_ligand	6.310000
5j6a_protein	5j6a_ligand	6.120000
5j8u_protein	5j8u_ligand	6.240000
5j9x_protein	5j9x_ligand	7.170000
5j7w_protein	5j7w_ligand	5.950000
5j41_protein	5j41_ligand	5.870000
5j64_protein	5j64_ligand	6.630000
5j82_protein	5j82_ligand	7.870000
5j86_protein	5j86_ligand	7.540000
5jgi_protein	5jgi_ligand	3.950000
5jfp_protein	5jfp_ligand	9.620000
5jfu_protein	5jfu_ligand	10.410000
5jg1_protein	5jg1_ligand	10.030000
5jgq_protein	5jgq_ligand	3.890000
5jhk_protein	5jhk_ligand	4.040000
5ji8_protein	5ji8_ligand	3.750000
5jq5_protein	5jq5_ligand	7.660000
5ja0_protein	5ja0_ligand	6.840000
5jsg_protein	5jsg_ligand	6.260000
5js3_protein	5js3_ligand	6.900000
5jsj_protein	5jsj_ligand	5.960000
5jox_protein	5jox_ligand	3.720000
5jhb_protein	5jhb_ligand	5.920000
5jop_protein	5jop_ligand	4.920000
5jsq_protein	5jsq_ligand	5.100000
5jss_protein	5jss_ligand	6.910000
5jt9_protein	5jt9_ligand	6.100000
5jxn_protein	5jxn_ligand	6.830000
5jvi_protein	5jvi_ligand	6.870000
5jy3_protein	5jy3_ligand	9.050000
5k8s_protein	5k8s_ligand	7.030000
5k0h_protein	5k0h_ligand	7.580000
5k03_protein	5k03_ligand	5.800000
5k0m_protein	5k0m_ligand	7.540000
5k1d_protein	5k1d_ligand	4.260000
5k1f_protein	5k1f_ligand	4.210000
5jxq_protein	5jxq_ligand	6.520000
5k9w_protein	5k9w_ligand	5.570000
5ka1_protein	5ka1_ligand	5.500000
5kat_protein	5kat_ligand	5.180000
5ka7_protein	5ka7_ligand	5.550000
5kab_protein	5kab_ligand	4.180000
5ka9_protein	5ka9_ligand	5.200000
5kad_protein	5kad_ligand	5.040000
5kax_protein	5kax_ligand	7.020000
5kcb_protein	5kcb_ligand	5.880000
5kh3_protein	5kh3_ligand	4.830000
5kly_protein	5kly_ligand	6.390000
5kbe_protein	5kbe_ligand	4.640000
5khm_protein	5khm_ligand	8.620000
5kej_protein	5kej_ligand	3.720000
5km9_protein	5km9_ligand	4.740000
5kma_protein	5kma_ligand	5.470000
5kby_protein	5kby_ligand	7.730000
5kqx_protein	5kqx_ligand	9.040000
5kqy_protein	5kqy_ligand	8.390000
5ko1_protein	5ko1_ligand	6.510000
5kr0_protein	5kr0_ligand	7.690000
5kr1_protein	5kr1_ligand	8.060000
5kr2_protein	5kr2_ligand	8.890000
5kz0_protein	5kz0_ligand	7.290000
5l2s_protein	5l2s_ligand	7.890000
5kva_protein	5kva_ligand	5.760000
5l3a_protein	5l3a_ligand	4.060000
5ko5_protein	5ko5_ligand	4.530000
5l8a_protein	5l8a_ligand	6.290000
5l4i_protein	5l4i_ligand	4.540000
5l7e_protein	5l7e_ligand	7.870000
5l4j_protein	5l4j_ligand	4.940000
5l7h_protein	5l7h_ligand	10.760000
5l7g_protein	5l7g_ligand	8.250000
5l8y_protein	5l8y_ligand	8.280000
5l8c_protein	5l8c_ligand	7.390000
5l4m_protein	5l4m_ligand	4.410000
5l9g_protein	5l9g_ligand	5.810000
5l9o_protein	5l9o_ligand	4.940000
5l9i_protein	5l9i_ligand	6.690000
5l9l_protein	5l9l_ligand	5.850000
5l30_protein	5l30_ligand	8.580000
5laq_protein	5laq_ligand	7.640000
5ldm_protein	5ldm_ligand	2.760000
5ldp_protein	5ldp_ligand	3.850000
5ljt_protein	5ljt_ligand	5.980000
5ljq_protein	5ljq_ligand	6.490000
5lif_protein	5lif_ligand	7.320000
5llc_protein	5llc_ligand	6.700000
5lle_protein	5lle_ligand	6.480000
5llg_protein	5llg_ligand	5.370000
5ld8_protein	5ld8_ligand	5.340000
5llh_protein	5llh_ligand	6.980000
5lne_protein	5lne_ligand	4.210000
5jzi_protein	5jzi_ligand	8.190000
5lli_protein	5lli_ligand	7.900000
5lny_protein	5lny_ligand	9.110000
5lom_protein	5lom_ligand	6.500000
5llo_protein	5llo_ligand	7.230000
5lsg_protein	5lsg_ligand	4.760000
5lso_protein	5lso_ligand	7.430000
5llp_protein	5llp_ligand	5.560000
5lsh_protein	5lsh_ligand	3.710000
5lud_protein	5lud_ligand	2.920000
5ltn_protein	5ltn_ligand	-1.110000
5lvl_protein	5lvl_ligand	6.190000
5lvq_protein	5lvq_ligand	5.140000
5lvd_protein	5lvd_ligand	5.110000
5lvr_protein	5lvr_ligand	3.810000
5lwm_protein	5lwm_ligand	6.970000
5lwd_protein	5lwd_ligand	6.370000
5lyn_protein	5lyn_ligand	4.900000
5lyr_protein	5lyr_ligand	4.980000
5lz4_protein	5lz4_ligand	6.930000
5lz5_protein	5lz5_ligand	7.320000
5m04_protein	5m04_ligand	7.090000
5lz7_protein	5lz7_ligand	7.260000
5m5d_protein	5m5d_ligand	5.100000
5m9w_protein	5m9w_ligand	6.250000
5m23_protein	5m23_ligand	5.710000
5m25_protein	5m25_ligand	6.150000
5m17_protein	5m17_ligand	5.150000
5m28_protein	5m28_ligand	5.400000
5ma7_protein	5ma7_ligand	5.650000
5m7s_protein	5m7s_ligand	4.850000
5m77_protein	5m77_ligand	4.240000
5m7u_protein	5m7u_ligand	6.490000
5mge_protein	5mge_ligand	3.690000
5mgf_protein	5mgf_ligand	2.840000
5mg2_protein	5mg2_ligand	6.650000
5mek_protein	5mek_ligand	7.340000
5meh_protein	5meh_ligand	4.040000
5mgj_protein	5mgj_ligand	3.810000
5mgk_protein	5mgk_ligand	3.340000
5mjn_protein	5mjn_ligand	5.420000
5mes_protein	5mes_ligand	7.720000
5mby_protein	5mby_ligand	4.170000
5mkr_protein	5mkr_ligand	5.370000
5mlj_protein	5mlj_ligand	6.420000
5mme_protein	5mme_ligand	5.920000
5mmg_protein	5mmg_ligand	5.700000
5mks_protein	5mks_ligand	5.380000
5mn1_protein	5mn1_ligand	3.650000
5mnn_protein	5mnn_ligand	5.500000
5mpk_protein	5mpk_ligand	6.600000
5mnr_protein	5mnr_ligand	6.420000
5mpn_protein	5mpn_ligand	5.620000
5mo8_protein	5mo8_ligand	8.260000
5mpz_protein	5mpz_ligand	4.110000
5mod_protein	5mod_ligand	4.110000
5mqe_protein	5mqe_ligand	3.140000
5mrb_protein	5mrb_ligand	7.680000
5mwh_protein	5mwh_ligand	6.110000
5mrm_protein	5mrm_ligand	6.600000
5mro_protein	5mro_ligand	8.780000
5mrp_protein	5mrp_ligand	9.960000
5mwp_protein	5mwp_ligand	9.880000
5mwy_protein	5mwy_ligand	9.890000
5msb_protein	5msb_ligand	6.240000
5n0d_protein	5n0d_ligand	7.880000
5my8_protein	5my8_ligand	8.570000
5n0e_protein	5n0e_ligand	7.050000
5n0f_protein	5n0f_ligand	4.330000
5n1r_protein	5n1r_ligand	6.110000
5n1s_protein	5n1s_ligand	6.130000
5mxf_protein	5mxf_ligand	3.740000
5n1z_protein	5n1z_ligand	8.740000
5n2t_protein	5n2t_ligand	6.460000
5mz8_protein	5mz8_ligand	4.330000
5n3v_protein	5n3v_ligand	6.410000
5n2z_protein	5n2z_ligand	6.530000
5n3y_protein	5n3y_ligand	6.200000
5n17_protein	5n17_ligand	6.210000
5n18_protein	5n18_ligand	6.380000
5n6s_protein	5n6s_ligand	5.510000
5n9r_protein	5n9r_ligand	10.130000
5n24_protein	5n24_ligand	5.750000
5n25_protein	5n25_ligand	5.840000
5n31_protein	5n31_ligand	6.990000
5n34_protein	5n34_ligand	6.600000
5n84_protein	5n84_ligand	6.160000
5n93_protein	5n93_ligand	6.800000
5n99_protein	5n99_ligand	7.700000
5nea_protein	5nea_ligand	5.410000
5nap_protein	5nap_ligand	7.990000
5ngz_protein	5ngz_ligand	4.150000
5neb_protein	5neb_ligand	5.950000
5nee_protein	5nee_ligand	5.250000
5nbw_protein	5nbw_ligand	8.970000
5ne5_protein	5ne5_ligand	4.840000
5ndf_protein	5ndf_ligand	3.180000
5nih_protein	5nih_ligand	6.760000
5nau_protein	5nau_ligand	8.140000
5njz_protein	5njz_ligand	7.610000
5nk2_protein	5nk2_ligand	8.400000
5nk3_protein	5nk3_ligand	7.160000
5nk4_protein	5nk4_ligand	8.210000
5nk6_protein	5nk6_ligand	7.420000
5nk7_protein	5nk7_ligand	7.950000
5nk8_protein	5nk8_ligand	7.420000
5nk9_protein	5nk9_ligand	7.040000
5nka_protein	5nka_ligand	7.270000
5nlk_protein	5nlk_ligand	6.940000
5nkb_protein	5nkb_ligand	7.930000
5nkd_protein	5nkd_ligand	7.890000
5nkc_protein	5nkc_ligand	7.960000
5nkg_protein	5nkg_ligand	7.350000
5nki_protein	5nki_ligand	8.180000
5nkh_protein	5nkh_ligand	7.780000
5nvv_protein	5nvv_ligand	7.680000
5nvw_protein	5nvw_ligand	8.160000
5nvx_protein	5nvx_ligand	7.790000
5nn5_protein	5nn5_ligand	4.470000
5nw0_protein	5nw0_ligand	7.670000
5nw1_protein	5nw1_ligand	7.940000
5nn6_protein	5nn6_ligand	4.610000
5nw2_protein	5nw2_ligand	7.530000
5nxg_protein	5nxg_ligand	5.910000
5nxi_protein	5nxi_ligand	6.830000
5nxo_protein	5nxo_ligand	7.310000
5nwe_protein	5nwe_ligand	7.230000
5nxp_protein	5nxp_ligand	8.250000
5nw7_protein	5nw7_ligand	5.040000
5nxw_protein	5nxw_ligand	6.310000
5nwi_protein	5nwi_ligand	5.060000
5ny1_protein	5ny1_ligand	6.590000
5ny3_protein	5ny3_ligand	6.270000
5nya_protein	5nya_ligand	5.080000
5nz4_protein	5nz4_ligand	7.480000
5o1d_protein	5o1d_ligand	4.880000
5nyh_protein	5nyh_ligand	8.990000
5o1f_protein	5o1f_ligand	5.050000
5o5a_protein	5o5a_ligand	5.990000
5o2d_protein	5o2d_ligand	9.070000
5o1h_protein	5o1h_ligand	5.140000
5nze_protein	5nze_ligand	7.850000
5o4f_protein	5o4f_ligand	6.170000
5o07_protein	5o07_ligand	5.890000
5nzf_protein	5nzf_ligand	7.110000
5nzn_protein	5nzn_ligand	7.190000
5o9o_protein	5o9o_ligand	6.010000
5o9p_protein	5o9p_ligand	5.320000
5o9r_protein	5o9r_ligand	4.840000
5o9q_protein	5o9q_ligand	5.670000
5od1_protein	5od1_ligand	5.910000
5ogb_protein	5ogb_ligand	7.550000
5oh2_protein	5oh2_ligand	3.590000
5odx_protein	5odx_ligand	7.780000
5o58_protein	5o58_ligand	4.400000
5oei_protein	5oei_ligand	5.240000
5o87_protein	5o87_ligand	5.640000
5o9y_protein	5o9y_ligand	6.020000
5obg_protein	5obg_ligand	8.980000
5oa6_protein	5oa6_ligand	6.330000
5oaj_protein	5oaj_ligand	2.930000
5oa2_protein	5oa2_ligand	5.650000
5oh3_protein	5oh3_ligand	5.170000
5oh4_protein	5oh4_ligand	4.420000
5oh7_protein	5oh7_ligand	3.780000
5oh9_protein	5oh9_ligand	3.650000
5oha_protein	5oha_ligand	3.710000
5oku_protein	5oku_ligand	4.690000
5oot_protein	5oot_ligand	7.550000
5op4_protein	5op4_ligand	6.500000
5op5_protein	5op5_ligand	6.890000
5om2_protein	5om2_ligand	7.440000
5oq8_protein	5oq8_ligand	6.870000
5om3_protein	5om3_ligand	8.280000
5om7_protein	5om7_ligand	8.920000
5ohy_protein	5ohy_ligand	4.850000
5oht_protein	5oht_ligand	5.360000
5orh_protein	5orh_ligand	5.110000
5org_protein	5org_ligand	7.090000
5orv_protein	5orv_ligand	3.040000
5oqu_protein	5oqu_ligand	5.440000
5orj_protein	5orj_ligand	5.680000
5ork_protein	5ork_ligand	6.160000
5orw_protein	5orw_ligand	3.610000
5os2_protein	5os2_ligand	3.540000
5os4_protein	5os4_ligand	4.620000
5os5_protein	5os5_ligand	4.310000
5ose_protein	5ose_ligand	2.260000
5os7_protein	5os7_ligand	6.790000
5os8_protein	5os8_ligand	3.770000
5osl_protein	5osl_ligand	3.260000
5ot8_protein	5ot8_ligand	6.970000
5ot9_protein	5ot9_ligand	5.290000
5ota_protein	5ota_ligand	5.820000
5otc_protein	5otc_ligand	6.050000
5ov8_protein	5ov8_ligand	5.750000
5ost_protein	5ost_ligand	5.710000
5ovc_protein	5ovc_ligand	6.190000
5otr_protein	5otr_ligand	6.670000
5ovp_protein	5ovp_ligand	6.250000
5otz_protein	5otz_ligand	6.850000
5oss_protein	5oss_ligand	4.200000
5ovv_protein	5ovv_ligand	6.300000
5ovr_protein	5ovr_ligand	5.410000
5ouh_protein	5ouh_ligand	6.910000
5ovx_protein	5ovx_ligand	5.620000
5owl_protein	5owl_ligand	5.380000
5qa8_protein	5qa8_ligand	3.820000
5qal_protein	5qal_ligand	3.010000
5oxk_protein	5oxk_ligand	4.290000
5qay_protein	5qay_ligand	2.900000
5qqp_protein	5qqp_ligand	9.610000
5qtt_protein	5qtt_ligand	9.560000
5sym_protein	5sym_ligand	8.370000
5sz0_protein	5sz0_ligand	5.650000
5sxm_protein	5sxm_ligand	6.530000
5sz1_protein	5sz1_ligand	5.770000
5sz2_protein	5sz2_ligand	3.090000
5sz3_protein	5sz3_ligand	6.420000
5sz4_protein	5sz4_ligand	6.240000
5sz5_protein	5sz5_ligand	5.950000
5sz6_protein	5sz6_ligand	5.880000
5std_protein	5std_ligand	9.250000
5t7s_protein	5t7s_ligand	3.670000
5sz7_protein	5sz7_ligand	6.170000
5tcj_protein	5tcj_ligand	0.000000
5t8o_protein	5t8o_ligand	8.030000
5t8p_protein	5t8p_ligand	6.010000
5t9w_protein	5t9w_ligand	7.220000
5t9u_protein	5t9u_ligand	6.270000
5t9z_protein	5t9z_ligand	6.850000
5tb6_protein	5tb6_ligand	5.390000
5ta2_protein	5ta2_ligand	7.530000
5ta4_protein	5ta4_ligand	7.910000
5t19_protein	5t19_ligand	7.790000
5tbm_protein	5tbm_ligand	8.830000
5tbe_protein	5tbe_ligand	9.610000
5tcy_protein	5tcy_ligand	5.850000
5tfx_protein	5tfx_ligand	8.110000
5th4_protein	5th4_ligand	2.560000
5ti0_protein	5ti0_ligand	3.370000
5tp0_protein	5tp0_ligand	5.250000
5tpx_protein	5tpx_ligand	7.610000
5tmp_protein	5tmp_ligand	7.460000
5tef_protein	5tef_ligand	5.390000
5tkj_protein	5tkj_ligand	6.720000
5tkk_protein	5tkk_ligand	7.140000
5ttw_protein	5ttw_ligand	4.280000
5tt3_protein	5tt3_ligand	4.100000
5twj_protein	5twj_ligand	5.970000
5tuo_protein	5tuo_ligand	4.580000
5tmn_protein	5tmn_ligand	7.240000
5txy_protein	5txy_ligand	3.940000
5ty9_protein	5ty9_ligand	4.720000
5tya_protein	5tya_ligand	4.280000
5tuz_protein	5tuz_ligand	6.560000
5u0d_protein	5u0d_ligand	4.220000
5u0e_protein	5u0e_ligand	3.930000
5u0f_protein	5u0f_ligand	3.860000
5u0g_protein	5u0g_ligand	4.340000
5u0w_protein	5u0w_ligand	5.000000
5u0y_protein	5u0y_ligand	5.310000
5u0z_protein	5u0z_ligand	6.090000
5u4b_protein	5u4b_ligand	5.440000
5u4d_protein	5u4d_ligand	3.950000
5u28_protein	5u28_ligand	6.900000
5u6j_protein	5u6j_ligand	8.930000
5u11_protein	5u11_ligand	5.610000
5ueu_protein	5ueu_ligand	6.860000
5u12_protein	5u12_ligand	5.580000
5u13_protein	5u13_ligand	6.030000
5uc4_protein	5uc4_ligand	7.430000
5u8c_protein	5u8c_ligand	7.680000
5u14_protein	5u14_ligand	7.730000
5ucj_protein	5ucj_ligand	8.150000
5u49_protein	5u49_ligand	5.540000
5uez_protein	5uez_ligand	5.120000
5uf0_protein	5uf0_ligand	4.640000
5ufc_protein	5ufc_ligand	4.820000
5uff_protein	5uff_ligand	3.570000
5ufp_protein	5ufp_ligand	9.420000
5ufr_protein	5ufr_ligand	7.620000
5ufs_protein	5ufs_ligand	10.230000
5ula_protein	5ula_ligand	5.110000
5uoo_protein	5uoo_ligand	6.990000
5ult_protein	5ult_ligand	8.670000
5umx_protein	5umx_ligand	6.640000
5uln_protein	5uln_ligand	6.690000
5ulp_protein	5ulp_ligand	5.890000
5umy_protein	5umy_ligand	10.180000
5uov_protein	5uov_ligand	8.800000
5upz_protein	5upz_ligand	9.200000
5upj_protein	5upj_ligand	6.760000
5ut6_protein	5ut6_ligand	6.980000
5uxf_protein	5uxf_ligand	8.530000
5var_protein	5var_ligand	5.420000
5uk8_protein	5uk8_ligand	7.500000
5v7a_protein	5v7a_ligand	5.550000
5v79_protein	5v79_ligand	6.580000
5v0n_protein	5v0n_ligand	9.660000
5upe_protein	5upe_ligand	9.640000
5uv2_protein	5uv2_ligand	5.730000
5vb5_protein	5vb5_ligand	7.800000
5v82_protein	5v82_ligand	8.730000
5vb6_protein	5vb6_ligand	8.920000
5upf_protein	5upf_ligand	10.770000
5vb7_protein	5vb7_ligand	8.780000
5vc4_protein	5vc4_ligand	7.590000
5vc3_protein	5vc3_ligand	7.330000
5vcv_protein	5vcv_ligand	8.150000
5vcw_protein	5vcw_ligand	7.320000
5vcy_protein	5vcy_ligand	7.430000
5vd0_protein	5vd0_ligand	8.520000
5vcz_protein	5vcz_ligand	8.000000
5vh0_protein	5vh0_ligand	5.380000
5vd2_protein	5vd2_ligand	6.540000
5vd1_protein	5vd1_ligand	9.770000
5vgy_protein	5vgy_ligand	5.340000
5vd3_protein	5vd3_ligand	8.280000
5vja_protein	5vja_ligand	5.850000
5vi6_protein	5vi6_ligand	7.480000
5vij_protein	5vij_ligand	7.020000
5vih_protein	5vih_ligand	7.140000
5vm0_protein	5vm0_ligand	8.350000
5vkc_protein	5vkc_ligand	8.750000
5vl2_protein	5vl2_ligand	8.480000
5vo1_protein	5vo1_ligand	7.000000
5voj_protein	5voj_ligand	8.080000
5vp9_protein	5vp9_ligand	7.780000
5vyy_protein	5vyy_ligand	7.110000
5w44_protein	5w44_ligand	5.390000
5wa5_protein	5wa5_ligand	5.800000
5w1e_protein	5w1e_ligand	4.420000
5vsf_protein	5vsf_ligand	6.500000
5wa8_protein	5wa8_ligand	5.000000
5wa9_protein	5wa9_ligand	5.120000
5wal_protein	5wal_ligand	6.960000
5w2s_protein	5w2s_ligand	5.120000
5vr8_protein	5vr8_ligand	6.020000
5wbm_protein	5wbm_ligand	5.470000
5wcm_protein	5wcm_ligand	3.490000
5we9_protein	5we9_ligand	4.920000
5wex_protein	5wex_ligand	6.210000
5wgp_protein	5wgp_ligand	3.410000
5wbo_protein	5wbo_ligand	5.170000
5wij_protein	5wij_ligand	5.350000
5win_protein	5win_ligand	6.510000
5vsj_protein	5vsj_ligand	4.640000
5wmg_protein	5wmg_ligand	6.730000
5wlo_protein	5wlo_ligand	9.810000
5wl0_protein	5wl0_ligand	9.050000
5wxh_protein	5wxh_ligand	4.980000
5wp5_protein	5wp5_ligand	5.130000
5wqc_protein	5wqc_ligand	7.040000
5wuk_protein	5wuk_ligand	7.140000
5x54_protein	5x54_ligand	7.560000
5x74_protein	5x74_ligand	9.560000
5xg5_protein	5xg5_ligand	3.910000
5xpi_protein	5xpi_ligand	2.370000
5xsr_protein	5xsr_ligand	7.800000
5xva_protein	5xva_ligand	6.590000
5xmx_protein	5xmx_ligand	7.310000
5y8y_protein	5y8y_ligand	5.230000
5x62_protein	5x62_ligand	5.810000
5xo7_protein	5xo7_ligand	8.740000
5y12_protein	5y12_ligand	5.480000
5xvg_protein	5xvg_ligand	7.140000
5y13_protein	5y13_ligand	5.180000
5y94_protein	5y94_ligand	4.950000
5ya5_protein	5ya5_ligand	7.390000
5yas_protein	5yas_ligand	4.050000
5yfs_protein	5yfs_ligand	7.620000
5yft_protein	5yft_ligand	7.890000
5yj8_protein	5yj8_ligand	4.050000
5yjm_protein	5yjm_ligand	8.670000
5yqx_protein	5yqx_ligand	6.040000
5wyx_protein	5wyx_ligand	8.950000
5ymx_protein	5ymx_ligand	6.570000
5wyz_protein	5wyz_ligand	9.840000
5yum_protein	5yum_ligand	4.040000
5yyf_protein	5yyf_ligand	5.790000
5yh8_protein	5yh8_ligand	5.230000
5yhe_protein	5yhe_ligand	4.700000
5yhg_protein	5yhg_ligand	5.290000
5yz2_protein	5yz2_ligand	4.490000
5yl2_protein	5yl2_ligand	7.790000
5z7b_protein	5z7b_ligand	5.490000
5za7_protein	5za7_ligand	6.410000
5za8_protein	5za8_ligand	6.090000
5zae_protein	5zae_ligand	6.330000
5za9_protein	5za9_ligand	1.250000
5z7j_protein	5z7j_ligand	7.720000
5z66_protein	5z66_ligand	7.930000
5zaf_protein	5zaf_ligand	6.390000
5zag_protein	5zag_ligand	6.140000
5zaj_protein	5zaj_ligand	6.240000
5zc5_protein	5zc5_ligand	7.220000
5z99_protein	5z99_ligand	5.160000
5zdb_protein	5zdb_ligand	6.030000
5z5f_protein	5z5f_ligand	4.580000
5zg0_protein	5zg0_ligand	7.990000
5zg1_protein	5zg1_ligand	7.710000
5zg3_protein	5zg3_ligand	8.040000
6a87_protein	6a87_ligand	3.510000
5zyl_protein	5zyl_ligand	8.110000
5zyg_protein	5zyg_ligand	6.810000
5zhl_protein	5zhl_ligand	6.410000
5zo8_protein	5zo8_ligand	7.000000
5zvw_protein	5zvw_ligand	7.400000
5zkc_protein	5zkc_ligand	7.450000
5zym_protein	5zym_ligand	7.730000
5zni_protein	5zni_ligand	6.580000
5znc_protein	5znc_ligand	7.170000
6ajr_protein	6ajr_ligand	5.370000
6ajv_protein	6ajv_ligand	5.430000
5zw6_protein	5zw6_ligand	7.310000
6ajy_protein	6ajy_ligand	4.510000
6abx_protein	6abx_ligand	4.660000
6ajz_protein	6ajz_ligand	5.780000
6aox_protein	6aox_ligand	4.560000
6arn_protein	6arn_ligand	5.170000
6aro_protein	6aro_ligand	5.620000
6arm_protein	6arm_ligand	5.190000
6as8_protein	6as8_ligand	5.930000
6ayi_protein	6ayi_ligand	6.430000
6aqs_protein	6aqs_ligand	5.960000
6ayo_protein	6ayo_ligand	8.140000
6ayq_protein	6ayq_ligand	8.080000
6ayr_protein	6ayr_ligand	8.970000
6ays_protein	6ays_ligand	8.090000
6b4l_protein	6b4l_ligand	7.510000
6ayt_protein	6ayt_ligand	7.920000
6b4n_protein	6b4n_ligand	9.750000
6b4d_protein	6b4d_ligand	4.440000
6b1k_protein	6b1k_ligand	9.000000
6b4u_protein	6b4u_ligand	7.340000
6b5q_protein	6b5q_ligand	8.130000
6b59_protein	6b59_ligand	6.470000
6b7a_protein	6b7a_ligand	4.190000
6b7b_protein	6b7b_ligand	3.500000
6b96_protein	6b96_ligand	7.750000
