Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
5hz6_protein	5hz6_ligand	7.580000	-10.340000	7.08	8.36	7.30	
5hu9_protein	5hu9_ligand	9.100000	-12.410000	9.12	9.60	8.58	
5g60_protein	5g60_ligand	5.700000	-7.780000	5.77	5.88	5.46	
5hz8_protein	5hz8_ligand	7.480000	-10.200000	7.03	8.28	7.13	
5hvs_protein	5hvs_ligand	7.230000	-9.870000	6.94	8.09	6.67	
5gs9_protein	5gs9_ligand	5.470000	-7.470000	5.39	5.77	5.26	
5hwu_protein	5hwu_ligand	5.750000	-7.840000	5.71	5.94	5.59	
5hz9_protein	5hz9_ligand	6.650000	-9.070000	6.32	7.27	6.37	
5i1q_protein	5i1q_ligand	6.480000	-8.840000	6.54	6.79	6.11	
5i2e_protein	5i2e_ligand	6.870000	-9.380000	7.01	6.77	6.84	
5i2f_protein	5i2f_ligand	5.880000	-8.010000	5.81	6.04	5.78	
5htz_protein	5htz_ligand	6.570000	-8.960000	6.24	6.84	6.63	
5i7x_protein	5i7x_ligand	5.910000	-8.070000	5.97	6.34	5.43	
5i7y_protein	5i7y_ligand	6.370000	-8.680000	6.47	6.74	5.89	
5hvt_protein	5hvt_ligand	6.650000	-9.070000	6.67	6.99	6.29	
5i29_protein	5i29_ligand	6.190000	-8.440000	6.22	6.65	5.69	
5i80_protein	5i80_ligand	5.820000	-7.940000	5.87	6.23	5.36	
5i88_protein	5i88_ligand	6.300000	-8.590000	6.33	6.62	5.95	
5i9x_protein	5i9x_ligand	6.710000	-9.150000	6.62	7.17	6.34	
5i9z_protein	5i9z_ligand	6.650000	-9.070000	6.52	6.98	6.44	
5i9y_protein	5i9y_ligand	7.280000	-9.930000	6.99	7.58	7.27	
5ia0_protein	5ia0_ligand	6.890000	-9.400000	6.60	7.42	6.65	
5i3v_protein	5i3v_ligand	7.180000	-9.790000	6.85	7.68	7.01	
5ia1_protein	5ia1_ligand	6.900000	-9.420000	6.53	7.46	6.72	
5i3x_protein	5i3x_ligand	8.390000	-11.440000	8.14	8.87	8.16	
5i3w_protein	5i3w_ligand	7.620000	-10.400000	7.29	8.16	7.41	
5i3y_protein	5i3y_ligand	8.730000	-11.910000	8.49	9.14	8.57	
5ia2_protein	5ia2_ligand	7.090000	-9.670000	6.78	7.70	6.80	
5igm_protein	5igm_ligand	6.510000	-8.870000	6.39	6.96	6.17	
5ia3_protein	5ia3_ligand	7.370000	-10.050000	6.98	8.07	7.05	
5ii2_protein	5ii2_ligand	6.300000	-8.590000	6.23	6.74	5.91	
5ia4_protein	5ia4_ligand	8.320000	-11.350000	8.32	8.69	7.95	
5ijr_protein	5ijr_ligand	4.670000	-6.370000	4.70	4.89	4.42	
5ia5_protein	5ia5_ligand	8.640000	-11.790000	8.53	8.97	8.42	
5ipc_protein	5ipc_ligand	6.530000	-8.910000	6.63	6.43	6.53	
5ikb_protein	5ikb_ligand	5.680000	-7.750000	5.66	5.79	5.59	
5ih9_protein	5ih9_ligand	6.640000	-9.060000	6.70	7.14	6.10	
5ime_protein	5ime_ligand	7.120000	-9.710000	6.98	7.50	6.88	
5ie1_protein	5ie1_ligand	6.990000	-9.540000	6.68	7.57	6.72	
5g5z_protein	5g5z_ligand	5.890000	-8.040000	5.87	6.13	5.68	
5ihh_protein	5ihh_ligand	6.110000	-8.330000	5.98	6.56	5.78	
5ioz_protein	5ioz_ligand	6.440000	-8.780000	6.59	6.50	6.22	
5ito_protein	5ito_ligand	6.050000	-8.250000	5.87	6.41	5.86	
5itp_protein	5itp_ligand	6.180000	-8.430000	5.99	6.56	5.99	
5ipj_protein	5ipj_ligand	7.030000	-9.590000	6.88	7.48	6.73	
5iyy_protein	5iyy_ligand	5.030000	-6.860000	4.85	5.60	4.63	
5j0d_protein	5j0d_ligand	6.260000	-8.540000	6.04	6.98	5.78	
5ive_protein	5ive_ligand	6.030000	-8.220000	5.96	6.19	5.92	
5ivc_protein	5ivc_ligand	6.200000	-8.460000	6.19	6.43	5.98	
5j1x_protein	5j1x_ligand	5.200000	-7.090000	4.98	5.67	4.93	
5ivv_protein	5ivv_ligand	5.860000	-7.990000	5.83	6.12	5.63	
5j2x_protein	5j2x_ligand	6.330000	-8.630000	6.12	6.49	6.37	
5ivy_protein	5ivy_ligand	5.840000	-7.970000	5.75	5.92	5.86	
5izj_protein	5izj_ligand	5.950000	-8.120000	6.19	5.92	5.75	
5izf_protein	5izf_ligand	6.780000	-9.250000	7.03	6.70	6.61	
5j1r_protein	5j1r_ligand	5.730000	-7.810000	5.95	5.71	5.52	
5j3l_protein	5j3l_ligand	6.280000	-8.570000	6.41	6.40	6.04	
5j7q_protein	5j7q_ligand	5.980000	-8.160000	5.89	6.30	5.75	
5j6l_protein	5j6l_ligand	6.870000	-9.370000	6.79	7.05	6.77	
5j6n_protein	5j6n_ligand	6.670000	-9.100000	6.61	6.78	6.63	
5j6m_protein	5j6m_ligand	6.800000	-9.270000	6.76	6.98	6.65	
5j20_protein	5j20_ligand	6.850000	-9.340000	6.83	7.01	6.71	
5j27_protein	5j27_ligand	6.640000	-9.060000	6.55	6.80	6.57	
5j8m_protein	5j8m_ligand	6.250000	-8.530000	6.01	6.46	6.28	
5j8u_protein	5j8u_ligand	6.030000	-8.230000	5.89	6.15	6.05	
5j9x_protein	5j9x_ligand	6.790000	-9.260000	6.66	7.05	6.66	
5jfp_protein	5jfp_ligand	8.150000	-11.120000	8.00	8.62	7.84	
5jfu_protein	5jfu_ligand	8.510000	-11.610000	8.37	9.17	8.00	
5jg1_protein	5jg1_ligand	8.340000	-11.380000	8.15	8.87	8.01	
5j41_protein	5j41_ligand	6.000000	-8.190000	6.12	6.24	5.65	
5jgi_protein	5jgi_ligand	4.830000	-6.580000	4.78	5.06	4.65	
5j64_protein	5j64_ligand	6.090000	-8.300000	5.95	6.19	6.11	
5jgq_protein	5jgq_ligand	5.060000	-6.910000	4.80	5.74	4.65	
5j82_protein	5j82_ligand	6.710000	-9.150000	6.53	6.91	6.69	
5ji8_protein	5ji8_ligand	5.100000	-6.950000	5.13	5.34	4.83	
5jhk_protein	5jhk_ligand	5.160000	-7.030000	4.95	5.74	4.77	
5j86_protein	5j86_ligand	7.030000	-9.590000	7.00	7.19	6.90	
5j7w_protein	5j7w_ligand	6.070000	-8.280000	6.21	6.32	5.69	
5j6a_protein	5j6a_ligand	6.000000	-8.190000	5.99	5.92	6.10	
5jsg_protein	5jsg_ligand	7.310000	-9.970000	7.13	8.28	6.52	
5isz_protein	5isz_ligand	11.540000	-15.740000	11.34	12.10	11.18	
5jsj_protein	5jsj_ligand	7.880000	-10.750000	7.91	8.66	7.06	
5k8s_protein	5k8s_ligand	6.270000	-8.550000	6.17	6.51	6.13	
5jq5_protein	5jq5_ligand	7.020000	-9.570000	7.03	7.32	6.70	
5jsq_protein	5jsq_ligand	5.660000	-7.710000	5.53	6.07	5.37	
5k0h_protein	5k0h_ligand	7.280000	-9.920000	7.49	7.27	7.06	
5k03_protein	5k03_ligand	5.800000	-7.920000	5.67	5.91	5.84	
5k9w_protein	5k9w_ligand	5.960000	-8.120000	5.87	6.29	5.70	
5ka1_protein	5ka1_ligand	5.990000	-8.170000	5.92	6.33	5.73	
5k0m_protein	5k0m_ligand	6.750000	-9.210000	6.98	6.74	6.53	
5kax_protein	5kax_ligand	7.350000	-10.030000	7.24	7.67	7.15	
5kat_protein	5kat_ligand	6.720000	-9.160000	6.36	7.54	6.25	
5jy3_protein	5jy3_ligand	8.520000	-11.620000	8.27	9.44	7.84	
5ka9_protein	5ka9_ligand	5.520000	-7.530000	5.41	5.87	5.27	
5ka7_protein	5ka7_ligand	6.020000	-8.220000	5.95	6.36	5.76	
5ja0_protein	5ja0_ligand	6.300000	-8.590000	6.47	6.03	6.39	
5kab_protein	5kab_ligand	5.400000	-7.360000	5.29	5.79	5.12	
5jox_protein	5jox_ligand	4.820000	-6.570000	4.72	5.05	4.68	
5kad_protein	5kad_ligand	5.930000	-8.090000	5.86	6.25	5.68	
5kcb_protein	5kcb_ligand	6.740000	-9.200000	6.58	7.56	6.09	
5km9_protein	5km9_ligand	4.980000	-6.790000	4.97	5.12	4.84	
5kly_protein	5kly_ligand	6.470000	-8.830000	6.55	6.42	6.45	
5kma_protein	5kma_ligand	6.040000	-8.240000	5.90	6.27	5.96	
5kqx_protein	5kqx_ligand	9.020000	-12.310000	8.55	9.76	8.76	
5khm_protein	5khm_ligand	7.180000	-9.800000	7.22	7.52	6.81	
5kqy_protein	5kqy_ligand	7.650000	-10.430000	7.45	8.13	7.36	
5kr0_protein	5kr0_ligand	7.380000	-10.070000	7.17	7.94	7.04	
5kr1_protein	5kr1_ligand	7.580000	-10.340000	7.39	8.08	7.27	
5ko1_protein	5ko1_ligand	6.420000	-8.760000	6.32	6.54	6.42	
5kej_protein	5kej_ligand	5.260000	-7.180000	5.22	5.51	5.05	
5kr2_protein	5kr2_ligand	8.810000	-12.010000	8.35	9.58	8.50	
5l2s_protein	5l2s_ligand	7.000000	-9.550000	6.83	7.39	6.79	
5kz0_protein	5kz0_ligand	6.530000	-8.910000	6.35	7.00	6.25	
5l7e_protein	5l7e_ligand	7.000000	-9.550000	7.07	7.43	6.50	
5l3a_protein	5l3a_ligand	5.100000	-6.960000	5.10	5.33	4.89	
5l8a_protein	5l8a_ligand	6.510000	-8.890000	6.54	7.02	5.98	
5l7g_protein	5l7g_ligand	7.590000	-10.360000	7.75	8.03	7.01	
5l4i_protein	5l4i_ligand	6.100000	-8.320000	5.80	6.56	5.95	
5l4j_protein	5l4j_ligand	5.390000	-7.360000	5.21	5.78	5.18	
5l4m_protein	5l4m_ligand	5.110000	-6.980000	4.81	5.45	5.09	
5l7h_protein	5l7h_ligand	7.740000	-10.560000	7.82	8.22	7.19	
5l9o_protein	5l9o_ligand	5.980000	-8.150000	6.06	6.06	5.81	
5ldm_protein	5ldm_ligand	4.750000	-6.480000	4.73	4.93	4.59	
5ldp_protein	5ldp_ligand	5.000000	-6.820000	5.00	5.20	4.80	
5l30_protein	5l30_ligand	8.040000	-10.960000	7.86	8.00	8.25	
5l9g_protein	5l9g_ligand	6.040000	-8.240000	6.15	6.17	5.80	
5lne_protein	5lne_ligand	5.090000	-6.940000	5.02	5.32	4.93	
5l9i_protein	5l9i_ligand	6.320000	-8.620000	6.36	6.49	6.11	
5l9l_protein	5l9l_ligand	6.130000	-8.360000	6.23	6.27	5.88	
5kva_protein	5kva_ligand	6.470000	-8.830000	6.47	6.65	6.29	
5lli_protein	5lli_ligand	6.960000	-9.490000	6.70	7.71	6.47	
5lso_protein	5lso_ligand	6.630000	-9.050000	6.67	7.06	6.17	
5lsh_protein	5lsh_ligand	5.350000	-7.290000	5.42	5.60	5.02	
5lny_protein	5lny_ligand	7.240000	-9.880000	7.24	7.38	7.09	
5lvq_protein	5lvq_ligand	5.540000	-7.550000	5.47	5.81	5.33	
5lud_protein	5lud_ligand	4.330000	-5.910000	4.29	4.39	4.32	
5lom_protein	5lom_ligand	6.350000	-8.660000	6.32	6.53	6.21	
5ko5_protein	5ko5_ligand	4.670000	-6.370000	4.63	4.76	4.63	
5lsg_protein	5lsg_ligand	8.700000	-11.870000	8.69	9.22	8.20	
5lvr_protein	5lvr_ligand	5.170000	-7.060000	5.02	5.28	5.22	
5jhb_protein	5jhb_ligand	6.240000	-8.510000	6.20	6.50	6.03	
5ltn_protein	5ltn_ligand	4.180000	-5.700000	3.96	4.57	4.01	
5lvl_protein	5lvl_ligand	6.070000	-8.270000	5.99	6.43	5.78	
5lwm_protein	5lwm_ligand	6.420000	-8.760000	6.39	6.59	6.27	
5kby_protein	5kby_ligand	6.370000	-8.690000	6.31	6.67	6.13	
5lyr_protein	5lyr_ligand	5.480000	-7.480000	5.48	5.68	5.28	
5lz4_protein	5lz4_ligand	6.220000	-8.490000	6.10	6.51	6.07	
5m5d_protein	5m5d_ligand	5.280000	-7.210000	5.29	5.44	5.12	
5lz5_protein	5lz5_ligand	6.660000	-9.090000	6.48	7.24	6.27	
5lz7_protein	5lz7_ligand	6.710000	-9.160000	6.58	7.24	6.32	
5m04_protein	5m04_ligand	5.760000	-7.860000	5.67	6.05	5.57	
5m23_protein	5m23_ligand	6.800000	-9.270000	6.31	7.93	6.15	
5m17_protein	5m17_ligand	5.350000	-7.300000	5.36	5.50	5.20	
5mge_protein	5mge_ligand	4.840000	-6.600000	4.76	5.03	4.73	
5m25_protein	5m25_ligand	6.590000	-8.990000	6.27	7.45	6.05	
5mg2_protein	5mg2_ligand	6.240000	-8.510000	6.08	6.60	6.04	
5gmh_protein	5gmh_ligand	6.650000	-9.080000	6.53	6.92	6.51	
5mgf_protein	5mgf_ligand	4.440000	-6.050000	4.46	4.56	4.30	
5mgj_protein	5mgj_ligand	4.860000	-6.630000	4.78	5.03	4.77	
5mgk_protein	5mgk_ligand	4.550000	-6.210000	4.59	4.64	4.44	
5ld8_protein	5ld8_ligand	5.800000	-7.910000	5.78	5.85	5.76	
5m28_protein	5m28_ligand	6.060000	-8.260000	6.05	6.25	5.87	
5mlj_protein	5mlj_ligand	6.020000	-8.210000	5.76	6.65	5.66	
5mme_protein	5mme_ligand	6.100000	-8.330000	5.94	6.67	5.70	
5mmg_protein	5mmg_ligand	6.080000	-8.300000	5.87	6.62	5.76	
5mek_protein	5mek_ligand	6.940000	-9.470000	6.80	7.29	6.74	
5mn1_protein	5mn1_ligand	4.630000	-6.320000	4.57	4.62	4.70	
5mpk_protein	5mpk_ligand	6.420000	-8.750000	6.29	6.92	6.04	
5mnn_protein	5mnn_ligand	5.000000	-6.820000	4.89	5.02	5.08	
5mpz_protein	5mpz_ligand	4.780000	-6.520000	4.85	4.85	4.63	
5mpn_protein	5mpn_ligand	6.100000	-8.320000	5.81	6.87	5.62	
5mqe_protein	5mqe_ligand	4.740000	-6.460000	4.55	5.06	4.59	
5meh_protein	5meh_ligand	4.860000	-6.620000	4.76	5.09	4.72	
5mwh_protein	5mwh_ligand	6.060000	-8.260000	5.93	6.76	5.48	
5mks_protein	5mks_ligand	5.530000	-7.550000	5.50	5.68	5.42	
5mkr_protein	5mkr_ligand	5.900000	-8.040000	5.81	6.12	5.76	
5mes_protein	5mes_ligand	7.860000	-10.720000	7.84	8.61	7.12	
5mo8_protein	5mo8_ligand	8.250000	-11.260000	8.68	8.54	7.55	
5mod_protein	5mod_ligand	5.420000	-7.390000	5.29	5.73	5.25	
5mwp_protein	5mwp_ligand	7.280000	-9.930000	7.28	7.60	6.95	
5mrb_protein	5mrb_ligand	7.720000	-10.540000	7.55	7.85	7.77	
5mwy_protein	5mwy_ligand	7.810000	-10.650000	8.05	7.85	7.52	
5n17_protein	5n17_ligand	6.080000	-8.290000	5.94	6.58	5.71	
5n18_protein	5n18_ligand	6.700000	-9.130000	6.51	7.37	6.20	
5n1z_protein	5n1z_ligand	6.720000	-9.160000	6.62	6.95	6.58	
5my8_protein	5my8_ligand	7.640000	-10.420000	7.59	7.99	7.33	
5n84_protein	5n84_ligand	6.730000	-9.180000	6.49	7.19	6.50	
5n93_protein	5n93_ligand	7.020000	-9.570000	6.72	7.59	6.74	
5n9r_protein	5n9r_ligand	7.820000	-10.660000	7.66	8.37	7.42	
5m7s_protein	5m7s_ligand	5.820000	-7.930000	5.69	6.01	5.74	
5n99_protein	5n99_ligand	6.500000	-8.870000	6.64	6.56	6.31	
5ngz_protein	5ngz_ligand	4.780000	-6.520000	4.69	4.98	4.67	
5n6s_protein	5n6s_ligand	5.930000	-8.090000	6.02	6.10	5.67	
5m7u_protein	5m7u_ligand	6.300000	-8.590000	6.28	6.60	6.01	
5nbw_protein	5nbw_ligand	7.490000	-10.210000	7.62	7.97	6.87	
5neb_protein	5neb_ligand	5.600000	-7.640000	5.51	5.84	5.45	
5nih_protein	5nih_ligand	5.560000	-7.590000	5.48	5.79	5.42	
5njz_protein	5njz_ligand	7.430000	-10.130000	6.96	8.10	7.23	
5mxf_protein	5mxf_ligand	4.920000	-6.710000	4.78	5.12	4.86	
5mby_protein	5mby_ligand	4.770000	-6.510000	4.72	4.83	4.77	
5nk3_protein	5nk3_ligand	7.330000	-10.000000	6.88	8.03	7.09	
5nau_protein	5nau_ligand	6.840000	-9.320000	7.09	6.99	6.43	
5nap_protein	5nap_ligand	6.780000	-9.240000	7.07	6.88	6.37	
5nk4_protein	5nk4_ligand	7.470000	-10.200000	7.06	8.16	7.21	
5nk7_protein	5nk7_ligand	7.360000	-10.040000	7.00	7.86	7.22	
5ne5_protein	5ne5_ligand	5.240000	-7.140000	5.12	5.50	5.09	
5nk6_protein	5nk6_ligand	7.490000	-10.220000	6.96	8.15	7.37	
5nk8_protein	5nk8_ligand	7.900000	-10.780000	7.16	8.89	7.65	
5ndf_protein	5ndf_ligand	5.190000	-7.080000	5.08	5.60	4.88	
5nk2_protein	5nk2_ligand	7.410000	-10.110000	7.02	7.98	7.23	
5nk9_protein	5nk9_ligand	7.530000	-10.270000	6.96	8.34	7.28	
5nka_protein	5nka_ligand	7.550000	-10.300000	6.98	8.36	7.30	
5nlk_protein	5nlk_ligand	6.870000	-9.370000	6.58	7.51	6.51	
5nkb_protein	5nkb_ligand	7.400000	-10.090000	7.10	7.85	7.24	
5nkc_protein	5nkc_ligand	7.550000	-10.290000	7.19	8.06	7.38	
5nvv_protein	5nvv_ligand	6.800000	-9.280000	6.61	7.56	6.23	
5nki_protein	5nki_ligand	7.230000	-9.860000	6.95	7.68	7.06	
5nvw_protein	5nvw_ligand	7.140000	-9.740000	6.86	7.90	6.67	
5nvx_protein	5nvx_ligand	7.130000	-9.720000	6.81	7.91	6.66	
5nkd_protein	5nkd_ligand	7.490000	-10.220000	7.11	8.09	7.28	
5nkg_protein	5nkg_ligand	7.500000	-10.240000	7.10	8.06	7.36	
5nkh_protein	5nkh_ligand	7.810000	-10.660000	7.29	8.63	7.51	
5nw0_protein	5nw0_ligand	6.980000	-9.520000	6.67	7.73	6.53	
5nw2_protein	5nw2_ligand	6.810000	-9.280000	6.62	7.56	6.23	
5nw1_protein	5nw1_ligand	7.080000	-9.650000	6.79	7.84	6.60	
5o5a_protein	5o5a_ligand	5.950000	-8.120000	5.95	6.17	5.74	
5o2d_protein	5o2d_ligand	7.760000	-10.590000	7.96	8.05	7.28	
5mz8_protein	5mz8_ligand	4.570000	-6.240000	4.68	4.55	4.49	
5nwe_protein	5nwe_ligand	5.760000	-7.850000	5.42	5.92	5.93	
5nyh_protein	5nyh_ligand	7.060000	-9.620000	7.07	7.19	6.91	
5nz4_protein	5nz4_ligand	5.830000	-7.960000	5.51	5.90	6.09	
5nze_protein	5nze_ligand	5.910000	-8.060000	5.59	6.02	6.13	
5nwi_protein	5nwi_ligand	5.910000	-8.060000	5.86	6.21	5.66	
5nzf_protein	5nzf_ligand	5.750000	-7.850000	5.43	5.86	5.96	
5nzn_protein	5nzn_ligand	5.820000	-7.940000	5.50	5.97	5.99	
5o58_protein	5o58_ligand	6.690000	-9.130000	6.70	6.90	6.48	
5ogb_protein	5ogb_ligand	7.400000	-10.100000	6.81	8.32	7.08	
5o9o_protein	5o9o_ligand	6.800000	-9.280000	6.60	7.61	6.20	
5odx_protein	5odx_ligand	7.090000	-9.670000	7.07	7.28	6.92	
5o9p_protein	5o9p_ligand	6.420000	-8.760000	6.50	6.66	6.12	
5o9q_protein	5o9q_ligand	6.460000	-8.810000	6.39	6.98	6.01	
5o9r_protein	5o9r_ligand	5.990000	-8.180000	6.04	6.25	5.69	
5o87_protein	5o87_ligand	5.570000	-7.600000	5.68	5.74	5.31	
5oei_protein	5oei_ligand	5.010000	-6.830000	5.03	5.02	4.97	
5o9y_protein	5o9y_ligand	6.600000	-9.000000	6.69	6.82	6.29	
5oaj_protein	5oaj_ligand	4.890000	-6.680000	4.76	5.31	4.62	
5obg_protein	5obg_ligand	6.870000	-9.370000	7.03	6.82	6.77	
5oa6_protein	5oa6_ligand	6.920000	-9.440000	6.88	7.37	6.50	
5oku_protein	5oku_ligand	4.960000	-6.760000	4.98	4.96	4.92	
5oot_protein	5oot_ligand	6.620000	-9.040000	6.37	7.22	6.28	
5op4_protein	5op4_ligand	6.000000	-8.190000	5.90	6.42	5.69	
5op5_protein	5op5_ligand	6.180000	-8.430000	6.24	6.44	5.85	
5oq8_protein	5oq8_ligand	6.720000	-9.170000	6.63	7.06	6.47	
5om2_protein	5om2_ligand	6.900000	-9.410000	7.20	7.04	6.46	
5om3_protein	5om3_ligand	6.760000	-9.220000	7.07	6.90	6.31	
5om7_protein	5om7_ligand	7.320000	-9.990000	7.50	7.83	6.63	
5orv_protein	5orv_ligand	4.410000	-6.010000	4.42	4.53	4.27	
5orw_protein	5orw_ligand	4.900000	-6.680000	4.89	5.07	4.74	
5orh_protein	5orh_ligand	5.740000	-7.830000	5.64	5.96	5.62	
5os2_protein	5os2_ligand	5.120000	-6.980000	5.01	5.53	4.81	
5os4_protein	5os4_ligand	5.610000	-7.650000	5.58	5.88	5.36	
5os5_protein	5os5_ligand	5.450000	-7.440000	5.34	5.81	5.21	
5nn5_protein	5nn5_ligand	5.140000	-7.020000	5.04	5.38	5.00	
5nn6_protein	5nn6_ligand	5.220000	-7.130000	5.18	5.42	5.07	
5org_protein	5org_ligand	6.360000	-8.670000	6.17	6.69	6.21	
5os7_protein	5os7_ligand	7.250000	-9.880000	7.37	7.73	6.63	
5ose_protein	5ose_ligand	4.320000	-5.890000	4.35	4.35	4.27	
5ot8_protein	5ot8_ligand	6.150000	-8.380000	5.95	6.52	5.97	
5os8_protein	5os8_ligand	5.290000	-7.220000	5.01	5.78	5.08	
5ot9_protein	5ot9_ligand	5.780000	-7.890000	5.64	5.97	5.73	
5ota_protein	5ota_ligand	5.800000	-7.910000	5.63	6.15	5.63	
5otc_protein	5otc_ligand	5.370000	-7.330000	5.33	5.66	5.12	
5osl_protein	5osl_ligand	5.200000	-7.090000	4.96	5.66	4.99	
5oht_protein	5oht_ligand	5.290000	-7.210000	5.21	5.55	5.11	
5ohy_protein	5ohy_ligand	5.160000	-7.030000	5.12	5.37	4.98	
5ovc_protein	5ovc_ligand	6.720000	-9.170000	6.55	7.20	6.41	
5ovp_protein	5ovp_ligand	6.830000	-9.320000	6.40	7.56	6.54	
5ovv_protein	5ovv_ligand	6.700000	-9.140000	6.46	7.13	6.51	
5oqu_protein	5oqu_ligand	6.420000	-8.760000	6.45	6.88	5.93	
5ov8_protein	5ov8_ligand	6.130000	-8.360000	5.93	6.85	5.61	
5otr_protein	5otr_ligand	6.600000	-9.000000	6.46	7.19	6.16	
5ork_protein	5ork_ligand	6.540000	-8.920000	6.63	6.94	6.04	
5orj_protein	5orj_ligand	6.830000	-9.310000	6.91	7.29	6.28	
5ovr_protein	5ovr_ligand	6.040000	-8.230000	5.82	6.08	6.21	
5otz_protein	5otz_ligand	6.990000	-9.540000	6.95	7.54	6.49	
5qal_protein	5qal_ligand	5.310000	-7.250000	5.03	5.95	4.95	
5qa8_protein	5qa8_ligand	5.260000	-7.170000	5.00	5.83	4.94	
5ovx_protein	5ovx_ligand	6.020000	-8.210000	5.80	6.06	6.20	
5qqp_protein	5qqp_ligand	7.760000	-10.580000	7.51	7.71	8.06	
5qtt_protein	5qtt_ligand	8.260000	-11.270000	7.85	8.65	8.29	
5sym_protein	5sym_ligand	7.010000	-9.560000	7.04	7.24	6.74	
5t7s_protein	5t7s_ligand	4.750000	-6.480000	4.68	4.98	4.58	
5qay_protein	5qay_ligand	5.000000	-6.830000	4.80	5.41	4.80	
5owl_protein	5owl_ligand	5.730000	-7.820000	5.41	6.33	5.46	
5t9u_protein	5t9u_ligand	6.700000	-9.130000	6.11	7.66	6.32	
5sxm_protein	5sxm_ligand	6.900000	-9.410000	6.66	7.33	6.69	
5t9w_protein	5t9w_ligand	6.690000	-9.120000	6.14	7.45	6.47	
5t9z_protein	5t9z_ligand	6.820000	-9.310000	6.23	7.67	6.58	
5oxk_protein	5oxk_ligand	5.170000	-7.050000	5.03	5.38	5.10	
5ta2_protein	5ta2_ligand	7.020000	-9.580000	6.37	7.97	6.73	
5tb6_protein	5tb6_ligand	5.580000	-7.620000	5.44	5.87	5.43	
5ta4_protein	5ta4_ligand	6.940000	-9.460000	6.39	7.65	6.76	
5t8o_protein	5t8o_ligand	6.810000	-9.290000	6.71	7.01	6.73	
5t8p_protein	5t8p_ligand	5.750000	-7.850000	5.68	5.92	5.67	
5t19_protein	5t19_ligand	6.900000	-9.410000	6.78	7.45	6.47	
5tbm_protein	5tbm_ligand	7.020000	-9.580000	7.07	7.36	6.63	
5tpx_protein	5tpx_ligand	6.900000	-9.410000	6.69	7.55	6.46	
5tbe_protein	5tbe_ligand	8.760000	-11.950000	8.77	9.11	8.41	
5tmp_protein	5tmp_ligand	7.440000	-10.140000	7.61	7.45	7.25	
5twj_protein	5twj_ligand	6.070000	-8.280000	6.06	6.29	5.86	
5tkj_protein	5tkj_ligand	6.920000	-9.430000	6.42	7.92	6.41	
5tkk_protein	5tkk_ligand	7.680000	-10.470000	7.35	8.50	7.18	
5tcj_protein	5tcj_ligand	6.430000	-8.770000	6.60	6.76	5.93	
5oss_protein	5oss_ligand	5.570000	-7.600000	5.52	5.79	5.41	
5ttw_protein	5ttw_ligand	5.920000	-8.070000	5.69	6.69	5.38	
5u4b_protein	5u4b_ligand	6.130000	-8.360000	6.01	6.61	5.76	
5std_protein	5std_ligand	7.720000	-10.530000	7.94	8.16	7.07	
5u28_protein	5u28_ligand	6.060000	-8.260000	6.03	6.46	5.68	
5u6j_protein	5u6j_ligand	7.660000	-10.440000	7.43	7.65	7.90	
5u4d_protein	5u4d_ligand	6.360000	-8.680000	6.18	6.87	6.04	
5u0w_protein	5u0w_ligand	5.010000	-6.840000	4.92	5.24	4.88	
5u0z_protein	5u0z_ligand	5.650000	-7.700000	5.47	5.91	5.56	
5ueu_protein	5ueu_ligand	6.330000	-8.630000	6.18	6.75	6.05	
5ost_protein	5ost_ligand	5.480000	-7.480000	5.43	5.67	5.34	
5uc4_protein	5uc4_ligand	6.760000	-9.220000	6.55	7.34	6.39	
5uez_protein	5uez_ligand	5.790000	-7.900000	5.60	6.33	5.44	
5uf0_protein	5uf0_ligand	5.330000	-7.270000	5.14	5.79	5.05	
5ucj_protein	5ucj_ligand	6.720000	-9.170000	6.60	7.21	6.36	
5u0y_protein	5u0y_ligand	5.090000	-6.940000	5.02	5.24	5.00	
5ufc_protein	5ufc_ligand	5.700000	-7.770000	5.55	5.83	5.70	
5u11_protein	5u11_ligand	5.280000	-7.200000	5.21	5.44	5.20	
5ula_protein	5ula_ligand	6.030000	-8.220000	5.72	6.54	5.82	
5uff_protein	5uff_ligand	5.050000	-6.880000	5.01	5.24	4.90	
5ufp_protein	5ufp_ligand	7.120000	-9.710000	7.20	7.44	6.72	
5ufr_protein	5ufr_ligand	7.880000	-10.740000	7.82	8.70	7.11	
5u13_protein	5u13_ligand	5.860000	-7.990000	5.70	6.16	5.73	
5tef_protein	5tef_ligand	5.300000	-7.230000	5.36	5.43	5.11	
5u12_protein	5u12_ligand	5.720000	-7.800000	5.59	5.91	5.65	
5u8c_protein	5u8c_ligand	7.100000	-9.690000	6.71	7.34	7.26	
5u14_protein	5u14_ligand	6.260000	-8.530000	6.27	6.34	6.17	
5ufs_protein	5ufs_ligand	7.990000	-10.900000	7.91	8.25	7.81	
5ulp_protein	5ulp_ligand	6.300000	-8.590000	6.22	6.52	6.14	
5uoo_protein	5uoo_ligand	6.860000	-9.360000	6.69	7.53	6.36	
5ult_protein	5ult_ligand	7.750000	-10.580000	7.63	8.26	7.38	
5umy_protein	5umy_ligand	7.960000	-10.860000	8.05	8.53	7.31	
5uov_protein	5uov_ligand	8.700000	-11.870000	8.47	9.31	8.34	
